city,No,Kota,Eksperimen,LAGS,ROLLS,CV_best_R2,learning_rate,max_depth,max_iter,l2_regularization,min_samples_leaf,Test_R2,Train_Time,CV_Gap
Kab.Klaten,1,Kab.Klaten,lag7_roll30,"[1, 7]",[30],-1.281749,0.05,3,300,0.001,10,0.935,00:00:05,30
Kab.Klaten,2,Kab.Klaten,lag14_roll7,"[1, 14]",[7],-0.133692,0.05,3,150,0.001,10,0.9344,00:00:04,14
Kab.Klaten,3,Kab.Klaten,lag14_roll30,"[1, 14]",[30],-1.240326,0.05,3,450,0.0,10,0.9328,00:00:05,30
Kab.Klaten,4,Kab.Klaten,lag1_roll30,[1],[30],-1.253731,0.05,3,450,0.001,10,0.9327,00:00:05,30
Kab.Klaten,5,Kab.Klaten,lag30_roll7,"[1, 30]",[7],-0.301401,0.05,3,150,0.0,10,0.9282,00:00:04,30
Kab.Klaten,6,Kab.Klaten,lag14,"[1, 14]",[],-0.115081,0.05,3,150,0.0,10,0.928,00:00:03,14
Kab.Klaten,7,Kab.Klaten,lag1_roll7,[1],[7],-0.092036,0.05,3,150,0.0,10,0.9256,00:00:04,7
Kab.Klaten,8,Kab.Klaten,lag30,"[1, 30]",[],-0.437771,0.05,3,150,0.0,10,0.9176,00:00:04,30
Kab.Klaten,9,Kab.Klaten,lag30_roll30,"[1, 30]",[30],-0.443229,0.05,3,150,0.0,10,0.9145,00:00:03,30
Kab.Klaten,10,Kab.Klaten,lag1,[1],[],-0.18297,0.01,3,150,0.001,10,-1.1137,00:00:04,1
Kab.Klaten,11,Kab.Klaten,lag7,"[1, 7]",[],-0.204815,0.01,3,150,0.0,10,-1.1377,00:00:04,7
Kab.Klaten,12,Kab.Klaten,lag7_roll7,"[1, 7]",[7],-0.191021,0.01,2,150,0.001,10,-1.9158,00:00:04,7
Kab._Banyumas,1,Kab. Banyumas,lag30_roll7,"[1, 30]",[7],-0.02217,0.03,1,300,0.001,30,0.9589,00:00:04,30
Kab._Banyumas,2,Kab. Banyumas,lag30_roll30,"[1, 30]",[30],-0.023114,0.03,1,300,0.001,30,0.9497,00:00:04,30
Kab._Banyumas,3,Kab. Banyumas,lag14_roll7,"[1, 14]",[7],0.08756,0.05,3,300,0.0,30,0.9491,00:00:04,14
Kab._Banyumas,4,Kab. Banyumas,lag30,"[1, 30]",[],-0.021711,0.03,1,300,0.001,30,0.9481,00:00:04,30
Kab._Banyumas,5,Kab. Banyumas,lag1,[1],[],0.122304,0.03,2,150,0.001,10,0.9395,00:00:03,1
Kab._Banyumas,6,Kab. Banyumas,lag1_roll7,[1],[7],0.086109,0.03,3,450,0.001,30,0.9392,00:00:04,7
Kab._Banyumas,7,Kab. Banyumas,lag14,"[1, 14]",[],0.099148,0.05,3,450,0.001,30,0.933,00:00:04,14
