city,No,Kota,Eksperimen,MAE,RMSE,MSE,MAPE(%),R2,LAGS,ROLLS,Train_Time,CV_Gap
Kab.Klaten,1,Kab.Klaten,lag7_roll30,101.005,133.1554,17730.3713,0.53,0.935,"[1, 7]",[30],00:00:05,30
Kab.Klaten,2,Kab.Klaten,lag14_roll7,102.8351,133.7497,17888.9769,0.54,0.9344,"[1, 14]",[7],00:00:04,14
Kab.Klaten,3,Kab.Klaten,lag14_roll30,104.0804,135.3679,18324.4751,0.55,0.9328,"[1, 14]",[30],00:00:05,30
Kab.Klaten,4,Kab.Klaten,lag1_roll30,104.112,135.4367,18343.0871,0.55,0.9327,[1],[30],00:00:05,30
Kab.Klaten,5,Kab.Klaten,lag30_roll7,108.558,139.9002,19572.0609,0.57,0.9282,"[1, 30]",[7],00:00:04,30
Kab.Klaten,6,Kab.Klaten,lag14,108.3153,140.0624,19617.4667,0.57,0.928,"[1, 14]",[],00:00:03,14
Kab.Klaten,7,Kab.Klaten,lag1_roll7,107.2134,142.3721,20269.8014,0.56,0.9256,[1],[7],00:00:04,7
Kab.Klaten,8,Kab.Klaten,lag30,115.5046,149.8854,22465.6477,0.61,0.9176,"[1, 30]",[],00:00:04,30
Kab.Klaten,9,Kab.Klaten,lag30_roll30,117.6872,152.6612,23305.4365,0.62,0.9145,"[1, 30]",[30],00:00:03,30
Kab.Klaten,10,Kab.Klaten,lag1,719.6456,759.0943,576224.1139,3.82,-1.1137,[1],[],00:00:04,1
Kab.Klaten,11,Kab.Klaten,lag7,723.2438,763.3853,582757.1401,3.84,-1.1377,"[1, 7]",[],00:00:04,7
Kab.Klaten,12,Kab.Klaten,lag7_roll7,851.4291,891.5553,794870.94,4.53,-1.9158,"[1, 7]",[7],00:00:04,7
Kab._Banyumas,1,Kab. Banyumas,lag30_roll7,132.5309,178.8345,31981.7781,0.65,0.9589,"[1, 30]",[7],00:00:04,30
Kab._Banyumas,2,Kab. Banyumas,lag30_roll30,148.0014,197.8114,39129.3488,0.73,0.9497,"[1, 30]",[30],00:00:04,30
Kab._Banyumas,3,Kab. Banyumas,lag14_roll7,151.3664,198.9612,39585.5613,0.75,0.9491,"[1, 14]",[7],00:00:04,14
Kab._Banyumas,4,Kab. Banyumas,lag30,148.2452,200.9554,40383.0806,0.73,0.9481,"[1, 30]",[],00:00:04,30
Kab._Banyumas,5,Kab. Banyumas,lag1,169.6418,216.8438,47021.2307,0.83,0.9395,[1],[],00:00:03,1
Kab._Banyumas,6,Kab. Banyumas,lag1_roll7,166.043,217.4293,47275.4839,0.82,0.9392,[1],[7],00:00:04,7
Kab._Banyumas,7,Kab. Banyumas,lag14,175.1355,228.3527,52144.9672,0.86,0.933,"[1, 14]",[],00:00:04,14
Kab._Banyumas,8,Kab. Banyumas,lag7_roll30,229.9457,299.3244,89595.1018,1.13,0.8848,"[1, 7]",[30],00:00:04,30
Kab._Banyumas,9,Kab. Banyumas,lag7,255.1663,304.1058,92480.3527,1.26,0.8811,"[1, 7]",[],00:00:04,7
Kab._Banyumas,10,Kab. Banyumas,lag7_roll7,258.6827,308.2316,95006.7179,1.28,0.8779,"[1, 7]",[7],00:00:04,7
Kab._Banyumas,11,Kab. Banyumas,lag1_roll30,239.4895,319.11,101831.1917,1.17,0.8691,[1],[30],00:00:04,30
Kab._Banyumas,12,Kab. Banyumas,lag14_roll30,290.8391,380.082,144462.2935,1.42,0.8143,"[1, 14]",[30],00:00:04,30
Kab._Banyuwangi,1,Kab. Banyuwangi,lag14_roll30,85.9349,119.7436,14338.5338,0.44,0.978,"[1, 14]",[30],00:00:04,30
Kab._Banyuwangi,2,Kab. Banyuwangi,lag1_roll30,88.0854,121.925,14865.7159,0.45,0.9772,[1],[30],00:00:04,30
Kab._Banyuwangi,3,Kab. Banyuwangi,lag30_roll7,97.0019,135.4747,18353.4008,0.5,0.9718,"[1, 30]",[7],00:00:04,30
Kab._Banyuwangi,4,Kab. Banyuwangi,lag7_roll30,99.0491,135.4277,18340.6675,0.51,0.9718,"[1, 7]",[30],00:00:04,30
Kab._Banyuwangi,5,Kab. Banyuwangi,lag30_roll30,97.6166,137.8447,19001.1618,0.5,0.9708,"[1, 30]",[30],00:00:04,30
Kab._Banyuwangi,6,Kab. Banyuwangi,lag30,98.7507,139.8313,19552.7814,0.5,0.97,"[1, 30]",[],00:00:04,30
