date,y_hat
2025-07-02,19347.719960080176
2025-07-03,19345.439920160352
2025-07-04,19343.159880240528
2025-07-05,19340.879840320704
2025-07-06,19338.59980040088
2025-07-07,19315.308317310857
2025-07-08,19292.016834220834
2025-07-09,19267.268125129256
2025-07-10,19242.519416037678
2025-07-11,19217.7707069461
2025-07-12,19193.02199785452
2025-07-13,19168.273288762943
2025-07-14,19167.450474844674
2025-07-15,19166.627660926406
2025-07-16,19164.347621006582
2025-07-17,19162.067581086758
2025-07-18,19159.787541166934
2025-07-19,19157.50750124711
2025-07-20,19155.227461327286
2025-07-21,19154.404647409017
2025-07-22,19153.58183349075
2025-07-23,19151.301793570925
2025-07-24,19149.0217536511
2025-07-25,19146.741713731277
2025-07-26,19144.461673811453
2025-07-27,19142.18163389163
2025-07-28,19141.35881997336
2025-07-29,19140.536006055092
2025-07-30,19138.255966135268
2025-07-31,19135.975926215444
2025-08-01,19133.69588629562
2025-08-02,19131.415846375796
2025-08-03,19129.13580645597
2025-08-04,19128.312992537703
2025-08-05,19127.490178619435
2025-08-06,19125.21013869961
2025-08-07,19122.930098779787
2025-08-08,19120.650058859963
2025-08-09,19118.37001894014
2025-08-10,19116.089979020315
2025-08-11,19115.267165102046
2025-08-12,19114.444351183778
2025-08-13,19112.164311263954
2025-08-14,19109.88427134413
2025-08-15,19107.604231424306
2025-08-16,19105.324191504482
2025-08-17,19103.044151584658
2025-08-18,19102.22133766639
2025-08-19,19101.39852374812
2025-08-20,19099.118483828297
2025-08-21,19096.838443908473
2025-08-22,19094.55840398865
2025-08-23,19092.278364068825
2025-08-24,19089.998324149
2025-08-25,19089.175510230732
2025-08-26,19088.352696312464
2025-08-27,19086.07265639264
2025-08-28,19083.792616472816
2025-08-29,19081.512576552992
2025-08-30,19079.232536633168
2025-08-31,19076.952496713344
2025-09-01,19076.129682795075
2025-09-02,19075.306868876807
2025-09-03,19073.026828956983
2025-09-04,19070.74678903716
2025-09-05,19068.466749117335
2025-09-06,19066.18670919751
2025-09-07,19063.906669277687
2025-09-08,19063.08385535942
2025-09-09,19062.26104144115
2025-09-10,19059.981001521326
2025-09-11,19057.700961601502
2025-09-12,19055.420921681678
2025-09-13,19053.140881761854
2025-09-14,19050.86084184203
2025-09-15,19050.03802792376
2025-09-16,19049.215214005493
2025-09-17,19046.93517408567
2025-09-18,19044.655134165845
2025-09-19,19042.37509424602
2025-09-20,19040.095054326197
2025-09-21,19037.815014406373
2025-09-22,19036.992200488105
2025-09-23,19036.169386569836
2025-09-24,19033.889346650012
2025-09-25,19031.609306730188
2025-09-26,19029.329266810364
2025-09-27,19027.04922689054
2025-09-28,19024.769186970716
2025-09-29,19023.946373052448
2025-09-30,19023.12355913418
2025-10-01,19039.570321733336
2025-10-02,19056.017084332492
2025-10-03,19072.46384693165
2025-10-04,19088.910609530805
2025-10-05,19105.35737212996
2025-10-06,19123.261360730674
2025-10-07,19141.165349331386
2025-10-08,19157.612111930543
2025-10-09,19174.0588745297
2025-10-10,19190.505637128856
2025-10-11,19206.952399728012
2025-10-12,19223.39916232717
2025-10-13,19241.30315092788
2025-10-14,19259.207139528593
2025-10-15,19275.65390212775
2025-10-16,19292.100664726906
2025-10-17,19308.547427326062
2025-10-18,19324.99418992522
2025-10-19,19341.440952524375
2025-10-20,19359.344941125088
2025-10-21,19377.2489297258
2025-10-22,19393.695692324956
2025-10-23,19410.142454924113
2025-10-24,19426.58921752327
2025-10-25,19443.035980122426
2025-10-26,19459.482742721582
2025-10-27,19477.386731322295
2025-10-28,19495.290719923007
2025-10-29,19511.737482522163
