date,y_hat
2025-07-02,19826.100483118367
2025-07-03,19802.200966236735
2025-07-04,19778.3014493551
2025-07-05,19754.40193247347
2025-07-06,19730.502415591836
2025-07-07,19708.951286956377
2025-07-08,19687.400158320917
2025-07-09,19663.500641439285
2025-07-10,19639.601124557652
2025-07-11,19615.70160767602
2025-07-12,19591.802090794386
2025-07-13,19567.902573912754
2025-07-14,19546.351445277294
2025-07-15,19524.800316641835
2025-07-16,19500.900799760202
2025-07-17,19477.00128287857
2025-07-18,19453.101765996937
2025-07-19,19429.202249115304
2025-07-20,19405.30273223367
2025-07-21,19383.75160359821
2025-07-22,19362.200474962752
2025-07-23,19338.30095808112
2025-07-24,19314.401441199487
2025-07-25,19290.501924317854
2025-07-26,19266.60240743622
2025-07-27,19242.70289055459
2025-07-28,19221.15176191913
2025-07-29,19199.60063328367
2025-07-30,19175.701116402037
2025-07-31,19151.801599520404
2025-08-01,19132.359925543602
2025-08-02,19112.9182515668
2025-08-03,19093.476577589998
2025-08-04,19076.383291859373
2025-08-05,19059.290006128747
2025-08-06,19039.848332151945
2025-08-07,19020.406658175143
2025-08-08,19000.96498419834
2025-08-09,18988.32683586138
2025-08-10,18975.688687524416
2025-08-11,18965.398927433627
2025-08-12,18955.10916734284
2025-08-13,18942.471019005876
2025-08-14,18934.811181820325
2025-08-15,18927.151344634774
2025-08-16,18919.491507449224
2025-08-17,18911.831670263673
2025-08-18,18906.520221324296
2025-08-19,18901.208772384918
2025-08-20,18893.548935199367
2025-08-21,18885.889098013817
2025-08-22,18878.229260828266
2025-08-23,18870.569423642715
2025-08-24,18862.909586457165
2025-08-25,18857.598137517787
2025-08-26,18852.28668857841
2025-08-27,18844.62685139286
2025-08-28,18836.96701420731
2025-08-29,18829.307177021758
2025-08-30,18821.647339836207
2025-08-31,18813.987502650656
2025-09-01,18808.67605371128
2025-09-02,18803.3646047719
2025-09-03,18795.70476758635
2025-09-04,18788.0449304008
2025-09-05,18780.38509321525
2025-09-06,18772.7252560297
2025-09-07,18765.065418844148
2025-09-08,18759.75396990477
2025-09-09,18754.442520965393
2025-09-10,18746.782683779842
2025-09-11,18739.12284659429
2025-09-12,18731.46300940874
2025-09-13,18723.80317222319
2025-09-14,18716.14333503764
2025-09-15,18710.83188609826
2025-09-16,18705.520437158884
2025-09-17,18697.860599973334
2025-09-18,18690.200762787783
2025-09-19,18682.540925602232
2025-09-20,18674.88108841668
2025-09-21,18667.22125123113
2025-09-22,18661.909802291753
2025-09-23,18656.598353352376
2025-09-24,18648.938516166825
2025-09-25,18641.278678981274
2025-09-26,18633.618841795724
2025-09-27,18625.959004610173
2025-09-28,18618.299167424622
2025-09-29,18612.987718485245
2025-09-30,18607.676269545867
2025-10-01,18607.41809994827
2025-10-02,18607.159930350674
2025-10-03,18606.901760753077
2025-10-04,18606.64359115548
2025-10-05,18606.385421557883
2025-10-06,18608.47564020646
2025-10-07,18610.565858855036
2025-10-08,18610.30768925744
2025-10-09,18610.049519659842
2025-10-10,18609.791350062245
2025-10-11,18609.53318046465
2025-10-12,18609.27501086705
2025-10-13,18611.365229515628
2025-10-14,18613.455448164204
2025-10-15,18613.197278566608
2025-10-16,18612.93910896901
2025-10-17,18612.680939371414
2025-10-18,18612.422769773817
2025-10-19,18612.16460017622
2025-10-20,18614.254818824797
2025-10-21,18616.345037473373
2025-10-22,18616.086867875776
2025-10-23,18615.82869827818
2025-10-24,18615.570528680582
2025-10-25,18615.312359082985
2025-10-26,18615.05418948539
2025-10-27,18617.144408133965
2025-10-28,18619.23462678254
2025-10-29,18618.976457184945
