date,y_hat
2025-07-02,21993.03207291415
2025-07-03,21986.0641458283
2025-07-04,21979.09621874245
2025-07-05,21972.128291656598
2025-07-06,21965.160364570747
2025-07-07,21958.681504910925
2025-07-08,21952.2026452511
2025-07-09,21945.23471816525
2025-07-10,21938.2667910794
2025-07-11,21931.29886399355
2025-07-12,21924.3309369077
2025-07-13,21917.36300982185
2025-07-14,21910.884150162026
2025-07-15,21904.405290502204
2025-07-16,21897.437363416353
2025-07-17,21890.469436330503
2025-07-18,21883.501509244652
2025-07-19,21876.5335821588
2025-07-20,21869.56565507295
2025-07-21,21863.086795413128
2025-07-22,21856.607935753305
2025-07-23,21849.640008667455
2025-07-24,21842.672081581604
2025-07-25,21835.704154495754
2025-07-26,21828.736227409903
2025-07-27,21821.768300324053
2025-07-28,21815.28944066423
2025-07-29,21808.810581004407
2025-07-30,21801.842653918557
2025-07-31,21794.874726832706
2025-08-01,21787.906799746856
2025-08-02,21780.938872661005
2025-08-03,21773.970945575154
2025-08-04,21767.49208591533
2025-08-05,21761.01322625551
2025-08-06,21754.04529916966
2025-08-07,21747.077372083808
2025-08-08,21740.109444997957
2025-08-09,21733.141517912107
2025-08-10,21726.173590826256
2025-08-11,21719.694731166433
2025-08-12,21713.21587150661
2025-08-13,21706.24794442076
2025-08-14,21699.28001733491
2025-08-15,21692.31209024906
2025-08-16,21685.34416316321
2025-08-17,21678.376236077358
2025-08-18,21671.897376417535
2025-08-19,21665.418516757712
2025-08-20,21658.450589671862
2025-08-21,21651.48266258601
2025-08-22,21644.51473550016
2025-08-23,21637.54680841431
2025-08-24,21630.57888132846
2025-08-25,21624.100021668637
2025-08-26,21617.621162008814
2025-08-27,21610.653234922964
2025-08-28,21603.685307837113
2025-08-29,21596.717380751263
2025-08-30,21589.749453665412
2025-08-31,21582.78152657956
2025-09-01,21576.30266691974
2025-09-02,21569.823807259916
2025-09-03,21562.855880174066
2025-09-04,21555.887953088215
2025-09-05,21548.920026002364
2025-09-06,21541.952098916514
2025-09-07,21534.984171830663
2025-09-08,21528.50531217084
2025-09-09,21522.026452511018
2025-09-10,21515.058525425167
2025-09-11,21508.090598339317
2025-09-12,21501.122671253466
2025-09-13,21494.154744167616
2025-09-14,21487.186817081765
2025-09-15,21480.707957421942
2025-09-16,21474.22909776212
2025-09-17,21467.26117067627
2025-09-18,21460.29324359042
2025-09-19,21453.325316504568
2025-09-20,21446.357389418718
2025-09-21,21439.389462332867
2025-09-22,21432.910602673044
2025-09-23,21426.43174301322
2025-09-24,21419.46381592737
2025-09-25,21412.49588884152
2025-09-26,21405.52796175567
2025-09-27,21398.56003466982
2025-09-28,21391.59210758397
2025-09-29,21385.113247924146
2025-09-30,21378.634388264323
2025-10-01,21371.666461178473
2025-10-02,21364.698534092622
2025-10-03,21357.73060700677
2025-10-04,21350.76267992092
2025-10-05,21343.79475283507
2025-10-06,21337.315893175248
2025-10-07,21330.837033515425
2025-10-08,21323.869106429574
2025-10-09,21316.901179343724
2025-10-10,21309.933252257873
2025-10-11,21302.965325172023
2025-10-12,21295.997398086172
2025-10-13,21289.51853842635
2025-10-14,21283.039678766527
2025-10-15,21276.071751680676
2025-10-16,21269.103824594826
2025-10-17,21262.135897508975
2025-10-18,21255.167970423125
2025-10-19,21248.200043337274
2025-10-20,21241.72118367745
2025-10-21,21235.24232401763
2025-10-22,21228.274396931778
2025-10-23,21221.306469845927
2025-10-24,21214.338542760077
2025-10-25,21207.370615674226
2025-10-26,21200.402688588376
2025-10-27,21193.923828928553
2025-10-28,21187.44496926873
2025-10-29,21180.47704218288
