date,y_hat
2025-07-02,22202.101957921932
2025-07-03,22203.80644115567
2025-07-04,22205.510924389408
2025-07-05,22207.215407623145
2025-07-06,22208.919890856883
2025-07-07,22211.021848778815
2025-07-08,22213.123806700747
2025-07-09,22215.22576462268
2025-07-10,22216.930247856417
2025-07-11,22218.634731090155
2025-07-12,22220.339214323893
2025-07-13,22222.04369755763
2025-07-14,22224.145655479562
2025-07-15,22226.247613401494
2025-07-16,22228.349571323426
2025-07-17,22230.054054557164
2025-07-18,22231.7585377909
2025-07-19,22233.46302102464
2025-07-20,22235.167504258377
2025-07-21,22237.26946218031
2025-07-22,22239.37142010224
2025-07-23,22241.473378024173
2025-07-24,22243.17786125791
2025-07-25,22244.88234449165
2025-07-26,22246.586827725387
2025-07-27,22248.291310959125
2025-07-28,22250.393268881056
2025-07-29,22252.49522680299
2025-07-30,22254.59718472492
2025-07-31,22256.301667958658
2025-08-01,22258.006151192396
2025-08-02,22259.710634426134
2025-08-03,22261.41511765987
2025-08-04,22263.517075581804
2025-08-05,22265.619033503735
2025-08-06,22267.720991425667
2025-08-07,22269.425474659405
2025-08-08,22271.129957893143
2025-08-09,22272.83444112688
2025-08-10,22274.53892436062
2025-08-11,22276.64088228255
2025-08-12,22278.742840204482
2025-08-13,22280.844798126414
2025-08-14,22282.549281360152
2025-08-15,22284.25376459389
2025-08-16,22285.958247827628
2025-08-17,22287.662731061366
2025-08-18,22289.764688983298
2025-08-19,22291.86664690523
2025-08-20,22293.96860482716
2025-08-21,22295.6730880609
2025-08-22,22297.377571294637
2025-08-23,22299.082054528375
2025-08-24,22300.786537762113
2025-08-25,22302.888495684045
2025-08-26,22304.990453605977
2025-08-27,22307.09241152791
2025-08-28,22308.796894761646
2025-08-29,22310.501377995384
2025-08-30,22312.205861229122
2025-08-31,22313.91034446286
2025-09-01,22316.012302384792
2025-09-02,22318.114260306724
2025-09-03,22320.216218228656
2025-09-04,22321.920701462393
2025-09-05,22323.62518469613
2025-09-06,22325.32966792987
2025-09-07,22327.034151163607
2025-09-08,22329.13610908554
2025-09-09,22331.23806700747
2025-09-10,22333.340024929403
2025-09-11,22335.04450816314
2025-09-12,22336.74899139688
2025-09-13,22338.453474630616
2025-09-14,22340.157957864354
2025-09-15,22342.259915786286
2025-09-16,22344.361873708218
2025-09-17,22346.46383163015
2025-09-18,22348.168314863888
2025-09-19,22349.872798097625
2025-09-20,22351.577281331363
2025-09-21,22353.2817645651
2025-09-22,22355.383722487033
2025-09-23,22357.485680408965
2025-09-24,22359.587638330897
2025-09-25,22361.292121564635
2025-09-26,22362.996604798373
2025-09-27,22364.70108803211
2025-09-28,22366.40557126585
2025-09-29,22368.50752918778
2025-09-30,22370.609487109712
2025-10-01,22372.711445031644
2025-10-02,22374.41592826538
2025-10-03,22376.12041149912
2025-10-04,22377.824894732858
2025-10-05,22379.529377966595
2025-10-06,22381.631335888527
2025-10-07,22383.73329381046
2025-10-08,22385.83525173239
2025-10-09,22387.53973496613
2025-10-10,22389.244218199867
2025-10-11,22390.948701433605
2025-10-12,22392.653184667342
2025-10-13,22394.755142589274
2025-10-14,22396.857100511206
2025-10-15,22398.959058433138
2025-10-16,22400.663541666876
2025-10-17,22402.368024900614
2025-10-18,22404.07250813435
2025-10-19,22405.77699136809
2025-10-20,22407.87894929002
2025-10-21,22409.980907211953
2025-10-22,22412.082865133885
2025-10-23,22413.787348367623
2025-10-24,22415.49183160136
2025-10-25,22417.1963148351
2025-10-26,22418.900798068837
2025-10-27,22421.00275599077
2025-10-28,22423.1047139127
2025-10-29,22425.206671834632
