date,y_hat
2025-07-02,22902.98842277151
2025-07-03,22905.976845543017
2025-07-04,22908.965268314525
2025-07-05,22911.953691086033
2025-07-06,22914.94211385754
2025-07-07,22920.164147780903
2025-07-08,22923.15257055241
2025-07-09,22926.14099332392
2025-07-10,22929.129416095428
2025-07-11,22932.117838866936
2025-07-12,22935.106261638444
2025-07-13,22938.094684409953
2025-07-14,22943.316718333313
2025-07-15,22946.30514110482
2025-07-16,22949.29356387633
2025-07-17,22952.28198664784
2025-07-18,22955.270409419347
2025-07-19,22958.258832190855
2025-07-20,22961.247254962364
2025-07-21,22966.469288885724
2025-07-22,22969.457711657233
2025-07-23,22972.44613442874
2025-07-24,22975.43455720025
2025-07-25,22978.422979971758
2025-07-26,22981.411402743266
2025-07-27,22984.399825514774
2025-07-28,22989.621859438135
2025-07-29,22992.610282209644
2025-07-30,22995.598704981152
2025-07-31,22998.58712775266
2025-08-01,23001.57555052417
2025-08-02,23004.563973295677
2025-08-03,23007.552396067185
2025-08-04,23012.774429990546
2025-08-05,23015.762852762055
2025-08-06,23018.751275533563
2025-08-07,23021.73969830507
2025-08-08,23024.72812107658
2025-08-09,23027.716543848088
2025-08-10,23030.704966619596
2025-08-11,23035.927000542957
2025-08-12,23038.915423314465
2025-08-13,23041.903846085974
2025-08-14,23044.892268857482
2025-08-15,23047.88069162899
2025-08-16,23050.8691144005
2025-08-17,23053.857537172007
2025-08-18,23059.079571095368
2025-08-19,23062.067993866876
2025-08-20,23065.056416638385
2025-08-21,23068.044839409893
2025-08-22,23071.0332621814
2025-08-23,23074.02168495291
2025-08-24,23077.010107724418
2025-08-25,23082.23214164778
2025-08-26,23085.220564419287
2025-08-27,23088.208987190796
2025-08-28,23091.197409962304
2025-08-29,23094.185832733812
2025-08-30,23097.17425550532
2025-08-31,23100.16267827683
2025-09-01,23105.38471220019
2025-09-02,23108.373134971698
2025-09-03,23111.361557743207
2025-09-04,23114.349980514715
2025-09-05,23117.338403286223
2025-09-06,23120.32682605773
2025-09-07,23123.31524882924
2025-09-08,23128.5372827526
2025-09-09,23131.52570552411
2025-09-10,23134.514128295617
2025-09-11,23137.502551067126
2025-09-12,23140.490973838634
2025-09-13,23143.479396610142
2025-09-14,23146.46781938165
2025-09-15,23151.68985330501
2025-09-16,23154.67827607652
2025-09-17,23157.66669884803
2025-09-18,23160.655121619537
2025-09-19,23163.643544391045
2025-09-20,23166.631967162553
2025-09-21,23169.62038993406
2025-09-22,23174.842423857423
2025-09-23,23177.83084662893
2025-09-24,23180.81926940044
2025-09-25,23183.807692171948
2025-09-26,23186.796114943456
2025-09-27,23189.784537714964
2025-09-28,23192.772960486473
2025-09-29,23197.994994409833
2025-09-30,23200.98341718134
2025-10-01,23203.97183995285
2025-10-02,23206.96026272436
2025-10-03,23209.948685495867
2025-10-04,23212.937108267375
2025-10-05,23215.925531038883
2025-10-06,23221.147564962244
2025-10-07,23224.135987733753
2025-10-08,23227.12441050526
2025-10-09,23230.11283327677
2025-10-10,23233.101256048278
2025-10-11,23236.089678819786
2025-10-12,23239.078101591294
2025-10-13,23244.300135514655
2025-10-14,23247.288558286164
2025-10-15,23250.276981057672
2025-10-16,23253.26540382918
2025-10-17,23256.25382660069
2025-10-18,23259.242249372197
2025-10-19,23262.230672143705
2025-10-20,23267.452706067066
2025-10-21,23270.441128838575
2025-10-22,23273.429551610083
2025-10-23,23276.41797438159
2025-10-24,23279.4063971531
2025-10-25,23282.394819924608
2025-10-26,23285.383242696116
2025-10-27,23290.605276619477
2025-10-28,23293.593699390985
2025-10-29,23296.582122162494
