date,y_hat
2025-07-02,24495.0484951412
2025-07-03,24492.715284340196
2025-07-04,24490.382073539193
2025-07-05,24488.04886273819
2025-07-06,24485.715651937186
2025-07-07,24477.179266983905
2025-07-08,24468.642882030625
2025-07-09,24463.691377171825
2025-07-10,24461.35816637082
2025-07-11,24459.024955569817
2025-07-12,24456.691744768814
2025-07-13,24454.35853396781
2025-07-14,24445.82214901453
2025-07-15,24437.28576406125
2025-07-16,24432.33425920245
2025-07-17,24430.001048401446
2025-07-18,24427.667837600442
2025-07-19,24425.33462679944
2025-07-20,24423.001415998435
2025-07-21,24414.465031045154
2025-07-22,24405.928646091874
2025-07-23,24400.977141233074
2025-07-24,24398.64393043207
2025-07-25,24396.310719631067
2025-07-26,24393.977508830063
2025-07-27,24391.64429802906
2025-07-28,24383.10791307578
2025-07-29,24374.5715281225
2025-07-30,24369.6200232637
2025-07-31,24367.286812462695
2025-08-01,24364.95360166169
2025-08-02,24362.620390860688
2025-08-03,24360.287180059684
2025-08-04,24351.750795106404
2025-08-05,24343.214410153123
2025-08-06,24338.262905294323
2025-08-07,24335.92969449332
2025-08-08,24333.596483692316
2025-08-09,24331.263272891312
2025-08-10,24328.93006209031
2025-08-11,24320.393677137028
2025-08-12,24311.857292183748
2025-08-13,24306.905787324948
2025-08-14,24304.572576523944
2025-08-15,24302.23936572294
2025-08-16,24299.906154921937
2025-08-17,24297.572944120933
2025-08-18,24289.036559167653
2025-08-19,24280.500174214372
2025-08-20,24275.548669355572
2025-08-21,24273.21545855457
2025-08-22,24270.882247753565
2025-08-23,24268.54903695256
2025-08-24,24266.215826151558
2025-08-25,24257.679441198277
2025-08-26,24249.143056244997
2025-08-27,24244.191551386197
2025-08-28,24241.858340585193
2025-08-29,24239.52512978419
2025-08-30,24237.191918983186
2025-08-31,24234.858708182182
2025-09-01,24226.322323228902
2025-09-02,24217.78593827562
2025-09-03,24212.83443341682
2025-09-04,24210.501222615818
2025-09-05,24208.168011814814
2025-09-06,24205.83480101381
2025-09-07,24203.501590212807
2025-09-08,24194.965205259527
2025-09-09,24186.428820306246
2025-09-10,24181.477315447446
2025-09-11,24179.144104646442
2025-09-12,24176.81089384544
2025-09-13,24174.477683044435
2025-09-14,24172.14447224343
2025-09-15,24163.60808729015
2025-09-16,24155.07170233687
2025-09-17,24150.12019747807
2025-09-18,24147.786986677067
2025-09-19,24145.453775876063
2025-09-20,24143.12056507506
2025-09-21,24140.787354274056
2025-09-22,24132.250969320776
2025-09-23,24123.714584367495
2025-09-24,24118.763079508695
2025-09-25,24116.42986870769
2025-09-26,24114.096657906688
2025-09-27,24111.763447105684
2025-09-28,24109.43023630468
2025-09-29,24100.8938513514
2025-09-30,24092.35746639812
2025-10-01,24087.40596153932
2025-10-02,24085.072750738316
2025-10-03,24082.739539937313
2025-10-04,24080.40632913631
2025-10-05,24078.073118335305
2025-10-06,24069.536733382025
2025-10-07,24061.000348428744
2025-10-08,24056.048843569944
2025-10-09,24053.71563276894
2025-10-10,24051.382421967937
2025-10-11,24049.049211166934
2025-10-12,24046.71600036593
2025-10-13,24038.17961541265
2025-10-14,24029.64323045937
2025-10-15,24024.69172560057
2025-10-16,24022.358514799565
2025-10-17,24020.025303998562
2025-10-18,24017.69209319756
2025-10-19,24015.358882396555
2025-10-20,24006.822497443274
2025-10-21,23998.286112489994
2025-10-22,23993.334607631194
2025-10-23,23991.00139683019
2025-10-24,23988.668186029186
2025-10-25,23986.334975228183
2025-10-26,23984.00176442718
2025-10-27,23975.4653794739
2025-10-28,23966.92899452062
2025-10-29,23961.97748966182
