date,y_hat
2025-07-02,18410.517179739738
2025-07-03,18421.034359479476
2025-07-04,18431.158383982227
2025-07-05,18441.282408484978
2025-07-06,18451.40643298773
2025-07-07,18462.639742702224
2025-07-08,18473.48017189438
2025-07-09,18484.32060108654
2025-07-10,18495.161030278698
2025-07-11,18505.608304233865
2025-07-12,18516.055578189033
2025-07-13,18526.5028521442
2025-07-14,18539.43802013221
2025-07-15,18550.278449324367
2025-07-16,18561.118878516525
2025-07-17,18571.959307708683
2025-07-18,18558.066063805556
2025-07-19,18544.17281990243
2025-07-20,18530.279575999302
2025-07-21,18518.874226129017
2025-07-22,18505.374137462877
2025-07-23,18490.14094165696
2025-07-24,18474.90774585104
2025-07-25,18459.281394808135
2025-07-26,18443.65504376523
2025-07-27,18428.028692722324
2025-07-28,18413.188377438742
2025-07-29,18397.955181632824
2025-07-30,18382.721985826905
2025-07-31,18367.488790020987
2025-08-01,18351.592359200215
2025-08-02,18335.695928379442
2025-08-03,18319.79949755867
2025-08-04,18304.68910249722
2025-08-05,18289.185826913435
2025-08-06,18273.68255132965
2025-08-07,18258.624560737313
2025-08-08,18243.17341490799
2025-08-09,18227.722269078666
2025-08-10,18212.271123249342
2025-08-11,18202.61376531657
2025-08-12,18192.563526861464
2025-08-13,18182.513288406357
2025-08-14,18172.46304995125
2025-08-15,18162.019656259155
2025-08-16,18151.57626256706
2025-08-17,18142.474891662496
2025-08-18,18134.159556517254
2025-08-19,18125.748568979485
2025-08-20,18117.337581441716
2025-08-21,18108.926593903947
2025-08-22,18100.12245112919
2025-08-23,18091.318308354435
2025-08-24,18082.51416557968
2025-08-25,18074.496058564248
2025-08-26,18066.08507102648
2025-08-27,18057.67408348871
2025-08-28,18049.26309595094
2025-08-29,18040.458953176185
2025-08-30,18031.65481040143
2025-08-31,18022.850667626673
2025-09-01,18019.377455106613
2025-09-02,18013.896566376243
2025-09-03,18008.415677645873
2025-09-04,18002.934788915503
2025-09-05,17997.060744948143
2025-09-06,17991.186700980783
2025-09-07,17985.312657013423
2025-09-08,17981.839444493362
2025-09-09,17976.358555762992
2025-09-10,17970.877667032622
2025-09-11,17965.396778302253
2025-09-12,17959.522734334892
2025-09-13,17953.648690367532
2025-09-14,17958.335278854418
2025-09-15,17965.4226987886
2025-09-16,17970.502442512472
2025-09-17,17975.582186236345
2025-09-18,17980.661929960217
2025-09-19,17985.348518447103
2025-09-20,17990.03510693399
2025-09-21,17994.721695420874
2025-09-22,18001.809115355056
2025-09-23,18006.88885907893
2025-09-24,18011.9686028028
2025-09-25,18017.048346526673
2025-09-26,18021.73493501356
2025-09-27,18026.421523500445
2025-09-28,18031.10811198733
2025-09-29,18038.195531921512
2025-09-30,18043.275275645385
2025-10-01,18054.03781662713
2025-10-02,18064.800357608874
2025-10-03,18070.63113269974
2025-10-04,18076.461907790603
2025-10-05,18082.292682881467
2025-10-06,18095.857397187894
2025-10-07,18107.414435284012
2025-10-08,18118.176976265757
2025-10-09,18128.9395172475
2025-10-10,18134.770292338366
2025-10-11,18137.355105114242
2025-10-12,18139.93991789012
2025-10-13,18150.258669881558
2025-10-14,18158.569745662688
2025-10-15,18166.086324329448
2025-10-16,18173.60290299621
2025-10-17,18176.187715772085
2025-10-18,18178.77252854796
2025-10-19,18181.357341323837
2025-10-20,18191.676093315276
2025-10-21,18199.987169096406
2025-10-22,18207.503747763167
2025-10-23,18215.020326429927
2025-10-24,18217.605139205803
2025-10-25,18220.18995198168
2025-10-26,18222.774764757556
2025-10-27,18233.093516748995
2025-10-28,18241.404592530125
2025-10-29,18248.921171196886
