date,y_hat
2025-07-02,20449.145322556808
2025-07-03,20448.290645113615
2025-07-04,20447.435967670423
2025-07-05,20446.58129022723
2025-07-06,20445.726612784038
2025-07-07,20444.871935340845
2025-07-08,20444.017257897653
2025-07-09,20443.16258045446
2025-07-10,20442.307903011268
2025-07-11,20441.453225568075
2025-07-12,20440.598548124883
2025-07-13,20439.74387068169
2025-07-14,20438.889193238498
2025-07-15,20438.034515795305
2025-07-16,20437.179838352113
2025-07-17,20436.32516090892
2025-07-18,20435.470483465728
2025-07-19,20434.615806022535
2025-07-20,20433.761128579343
2025-07-21,20432.90645113615
2025-07-22,20432.051773692958
2025-07-23,20431.197096249765
2025-07-24,20430.342418806573
2025-07-25,20429.48774136338
2025-07-26,20428.633063920188
2025-07-27,20427.778386476995
2025-07-28,20426.923709033803
2025-07-29,20426.06903159061
2025-07-30,20425.214354147418
2025-07-31,20424.359676704225
2025-08-01,20423.504999261033
2025-08-02,20422.65032181784
2025-08-03,20421.795644374648
2025-08-04,20420.940966931455
2025-08-05,20420.086289488263
2025-08-06,20419.23161204507
2025-08-07,20418.376934601878
2025-08-08,20417.522257158686
2025-08-09,20416.667579715493
2025-08-10,20415.8129022723
2025-08-11,20414.958224829108
2025-08-12,20414.103547385916
2025-08-13,20413.248869942723
2025-08-14,20412.39419249953
2025-08-15,20411.539515056338
2025-08-16,20410.684837613146
2025-08-17,20409.830160169953
2025-08-18,20408.97548272676
2025-08-19,20408.12080528357
2025-08-20,20407.266127840376
2025-08-21,20406.411450397183
2025-08-22,20405.55677295399
2025-08-23,20404.7020955108
2025-08-24,20403.847418067606
2025-08-25,20402.992740624413
2025-08-26,20402.13806318122
2025-08-27,20401.28338573803
2025-08-28,20400.428708294836
2025-08-29,20399.574030851643
2025-08-30,20398.71935340845
2025-08-31,20397.86467596526
2025-09-01,20401.4946912444
2025-09-02,20405.12470652354
2025-09-03,20408.75472180268
2025-09-04,20412.384737081822
2025-09-05,20416.014752360963
2025-09-06,20419.644767640104
2025-09-07,20423.274782919245
2025-09-08,20426.904798198386
2025-09-09,20430.534813477527
2025-09-10,20434.164828756668
2025-09-11,20437.79484403581
2025-09-12,20441.42485931495
2025-09-13,20445.05487459409
2025-09-14,20448.68488987323
2025-09-15,20452.314905152372
2025-09-16,20455.944920431513
2025-09-17,20459.574935710654
2025-09-18,20463.204950989795
2025-09-19,20466.834966268936
2025-09-20,20470.464981548077
2025-09-21,20474.094996827218
2025-09-22,20477.72501210636
2025-09-23,20481.3550273855
2025-09-24,20484.98504266464
2025-09-25,20488.61505794378
2025-09-26,20492.245073222923
2025-09-27,20495.875088502064
2025-09-28,20499.505103781205
2025-09-29,20503.135119060345
2025-09-30,20506.765134339486
2025-10-01,20510.395149618627
2025-10-02,20514.02516489777
2025-10-03,20517.65518017691
2025-10-04,20521.28519545605
2025-10-05,20524.91521073519
2025-10-06,20528.545226014332
2025-10-07,20532.175241293473
2025-10-08,20535.805256572614
2025-10-09,20539.435271851755
2025-10-10,20543.065287130896
2025-10-11,20546.695302410037
2025-10-12,20550.325317689178
2025-10-13,20553.95533296832
2025-10-14,20557.58534824746
2025-10-15,20561.2153635266
2025-10-16,20564.84537880574
2025-10-17,20568.475394084882
2025-10-18,20572.105409364023
2025-10-19,20575.735424643164
2025-10-20,20579.365439922305
2025-10-21,20582.995455201446
2025-10-22,20586.625470480587
2025-10-23,20590.255485759728
2025-10-24,20593.88550103887
2025-10-25,20597.51551631801
2025-10-26,20601.14553159715
2025-10-27,20604.77554687629
2025-10-28,20608.405562155433
2025-10-29,20612.035577434573
