date,y_hat
2025-07-02,20727.565583236243
2025-07-03,20705.131166472485
2025-07-04,20682.63121672169
2025-07-05,20660.131266970893
2025-07-06,20637.631317220097
2025-07-07,20615.19690045634
2025-07-08,20592.762483692582
2025-07-09,20570.328066928825
2025-07-10,20547.893650165068
2025-07-11,20525.39370041427
2025-07-12,20502.893750663476
2025-07-13,20480.39380091268
2025-07-14,20457.959384148922
2025-07-15,20435.524967385165
2025-07-16,20413.090550621408
2025-07-17,20390.65613385765
2025-07-18,20368.156184106854
2025-07-19,20345.656234356058
2025-07-20,20323.156284605262
2025-07-21,20300.721867841505
2025-07-22,20278.287451077747
2025-07-23,20255.85303431399
2025-07-24,20233.418617550233
2025-07-25,20210.918667799437
2025-07-26,20188.41871804864
2025-07-27,20165.918768297845
2025-07-28,20143.484351534087
2025-07-29,20121.04993477033
2025-07-30,20098.615518006573
2025-07-31,20076.181101242815
2025-08-01,20055.12607838958
2025-08-02,20034.071055536348
2025-08-03,20013.016032683114
2025-08-04,19992.02654281692
2025-08-05,19971.037052950724
2025-08-06,19950.04756308453
2025-08-07,19929.058073218333
2025-08-08,19908.0030503651
2025-08-09,19886.948027511866
2025-08-10,19865.893004658632
2025-08-11,19844.903514792437
2025-08-12,19823.914024926242
2025-08-13,19802.924535060047
2025-08-14,19781.93504519385
2025-08-15,19760.880022340618
2025-08-16,19739.824999487384
2025-08-17,19721.026998865596
2025-08-18,19702.294531230847
2025-08-19,19698.807886965515
2025-08-20,19695.32124270018
2025-08-21,19691.83459843485
2025-08-22,19688.282421182477
2025-08-23,19684.730243930106
2025-08-24,19681.178066677734
2025-08-25,19677.6914224124
2025-08-26,19674.20477814707
2025-08-27,19670.718133881735
2025-08-28,19667.231489616403
2025-08-29,19663.67931236403
2025-08-30,19660.12713511166
2025-08-31,19662.174408453568
2025-09-01,19664.287214782515
2025-09-02,19666.40002111146
2025-09-03,19668.51282744041
2025-09-04,19670.625633769356
2025-09-05,19672.672907111264
2025-09-06,19674.720180453172
2025-09-07,19676.76745379508
2025-09-08,19678.880260124028
2025-09-09,19680.993066452975
2025-09-10,19683.10587278192
2025-09-11,19685.21867911087
2025-09-12,19687.265952452777
2025-09-13,19689.313225794685
2025-09-14,19691.360499136594
2025-09-15,19693.47330546554
2025-09-16,19695.586111794488
2025-09-17,19697.698918123435
2025-09-18,19699.811724452382
2025-09-19,19701.85899779429
2025-09-20,19703.9062711362
2025-09-21,19705.953544478107
2025-09-22,19708.066350807054
2025-09-23,19710.179157136
2025-09-24,19712.291963464948
2025-09-25,19714.404769793895
2025-09-26,19716.452043135803
2025-09-27,19718.49931647771
2025-09-28,19720.54658981962
2025-09-29,19722.659396148567
2025-09-30,19724.772202477514
2025-10-01,19729.561345188842
2025-10-02,19734.35048790017
2025-10-03,19739.07409762446
2025-10-04,19743.79770734875
2025-10-05,19748.52131707304
2025-10-06,19753.310459784367
2025-10-07,19758.099602495695
2025-10-08,19762.888745207023
2025-10-09,19767.67788791835
2025-10-10,19772.40149764264
2025-10-11,19777.12510736693
2025-10-12,19781.84871709122
2025-10-13,19786.637859802548
2025-10-14,19791.427002513876
2025-10-15,19790.616694630924
2025-10-16,19789.806386747972
2025-10-17,19788.93054587798
2025-10-18,19788.05470500799
2025-10-19,19787.178864138
2025-10-20,19786.36855625505
2025-10-21,19785.558248372097
2025-10-22,19784.747940489146
2025-10-23,19783.937632606194
2025-10-24,19783.061791736203
2025-10-25,19782.185950866213
2025-10-26,19781.310109996222
2025-10-27,19780.49980211327
2025-10-28,19779.68949423032
2025-10-29,19778.879186347367
