date,y_hat
2025-07-02,19138.743565189518
2025-07-03,19127.487130379035
2025-07-04,19116.230695568553
2025-07-05,19104.97426075807
2025-07-06,19093.717825947588
2025-07-07,19090.08279218213
2025-07-08,19078.826357371647
2025-07-09,19067.569922561164
2025-07-10,19056.31348775068
2025-07-11,19045.0570529402
2025-07-12,19033.800618129717
2025-07-13,19022.544183319234
2025-07-14,19018.909149553776
2025-07-15,19007.652714743293
2025-07-16,18996.39627993281
2025-07-17,18985.13984512233
2025-07-18,18973.883410311846
2025-07-19,18962.626975501364
2025-07-20,18951.37054069088
2025-07-21,18947.735506925423
2025-07-22,18936.47907211494
2025-07-23,18925.222637304458
2025-07-24,18913.966202493975
2025-07-25,18902.709767683493
2025-07-26,18891.45333287301
2025-07-27,18880.196898062528
2025-07-28,18876.56186429707
2025-07-29,18865.305429486587
2025-07-30,18854.048994676104
2025-07-31,18842.792559865622
2025-08-01,18831.53612505514
2025-08-02,18820.279690244657
2025-08-03,18809.023255434175
2025-08-04,18805.388221668716
2025-08-05,18794.131786858234
2025-08-06,18782.87535204775
2025-08-07,18771.61891723727
2025-08-08,18760.362482426786
2025-08-09,18749.106047616304
2025-08-10,18737.84961280582
2025-08-11,18734.214579040363
2025-08-12,18722.95814422988
2025-08-13,18711.701709419398
2025-08-14,18700.445274608915
2025-08-15,18689.188839798433
2025-08-16,18677.93240498795
2025-08-17,18666.675970177468
2025-08-18,18663.04093641201
2025-08-19,18651.784501601527
2025-08-20,18640.528066791045
2025-08-21,18629.271631980562
2025-08-22,18618.01519717008
2025-08-23,18606.758762359597
2025-08-24,18595.502327549115
2025-08-25,18591.867293783656
2025-08-26,18580.610858973174
2025-08-27,18569.35442416269
2025-08-28,18558.09798935221
2025-08-29,18546.841554541727
2025-08-30,18535.585119731244
2025-08-31,18524.32868492076
2025-09-01,18525.751396433443
2025-09-02,18519.5527069011
2025-09-03,18513.354017368758
2025-09-04,18507.155327836415
2025-09-05,18514.715266050378
2025-09-06,18522.27520426434
2025-09-07,18529.835142478303
2025-09-08,18545.01648173729
2025-09-09,18552.576419951252
2025-09-10,18560.136358165215
2025-09-11,18567.696296379178
2025-09-12,18575.25623459314
2025-09-13,18582.816172807103
2025-09-14,18590.376111021065
2025-09-15,18605.557450280052
2025-09-16,18613.117388494014
2025-09-17,18620.677326707977
2025-09-18,18628.23726492194
2025-09-19,18635.797203135902
2025-09-20,18643.357141349865
2025-09-21,18650.917079563827
2025-09-22,18666.098418822814
2025-09-23,18673.658357036777
2025-09-24,18681.21829525074
2025-09-25,18688.7782334647
2025-09-26,18696.338171678664
2025-09-27,18703.898109892627
2025-09-28,18711.45804810659
2025-09-29,18726.639387365576
2025-09-30,18734.19932557954
2025-10-01,18741.7592637935
2025-10-02,18735.56057426116
2025-10-03,18729.361884728816
2025-10-04,18723.163195196474
2025-10-05,18716.96450566413
2025-10-06,18718.387217176813
2025-10-07,18712.18852764447
2025-10-08,18705.989838112127
2025-10-09,18699.791148579785
2025-10-10,18693.592459047442
2025-10-11,18687.3937695151
2025-10-12,18681.195079982757
2025-10-13,18682.61779149544
2025-10-14,18676.419101963096
2025-10-15,18670.220412430754
2025-10-16,18664.02172289841
2025-10-17,18657.82303336607
2025-10-18,18651.624343833726
2025-10-19,18645.425654301383
2025-10-20,18646.848365814065
2025-10-21,18640.649676281722
2025-10-22,18634.45098674938
2025-10-23,18628.252297217037
2025-10-24,18622.053607684695
2025-10-25,18615.854918152352
2025-10-26,18609.65622862001
2025-10-27,18611.07894013269
2025-10-28,18604.88025060035
2025-10-29,18598.681561068006
