date,y_hat
2025-07-02,23898.98064915357
2025-07-03,23897.961298307142
2025-07-04,23896.941947460713
2025-07-05,23895.922596614284
2025-07-06,23894.903245767855
2025-07-07,23893.883894921426
2025-07-08,23892.864544074997
2025-07-09,23891.845193228568
2025-07-10,23890.82584238214
2025-07-11,23889.80649153571
2025-07-12,23888.78714068928
2025-07-13,23887.767789842852
2025-07-14,23886.748438996423
2025-07-15,23885.729088149994
2025-07-16,23884.709737303565
2025-07-17,23883.690386457136
2025-07-18,23882.671035610707
2025-07-19,23881.651684764278
2025-07-20,23880.63233391785
2025-07-21,23879.61298307142
2025-07-22,23878.59363222499
2025-07-23,23877.574281378562
2025-07-24,23876.554930532133
2025-07-25,23875.535579685704
2025-07-26,23874.516228839275
2025-07-27,23873.496877992846
2025-07-28,23872.477527146417
2025-07-29,23871.458176299988
2025-07-30,23870.43882545356
2025-07-31,23869.41947460713
2025-08-01,23868.4001237607
2025-08-02,23867.38077291427
2025-08-03,23866.361422067843
2025-08-04,23865.342071221414
2025-08-05,23864.322720374985
2025-08-06,23863.303369528556
2025-08-07,23862.284018682127
2025-08-08,23861.264667835698
2025-08-09,23860.24531698927
2025-08-10,23859.22596614284
2025-08-11,23858.20661529641
2025-08-12,23857.18726444998
2025-08-13,23856.167913603553
2025-08-14,23855.148562757124
2025-08-15,23854.129211910695
2025-08-16,23853.109861064266
2025-08-17,23852.090510217837
2025-08-18,23851.071159371408
2025-08-19,23850.05180852498
2025-08-20,23849.03245767855
2025-08-21,23848.01310683212
2025-08-22,23846.99375598569
2025-08-23,23845.974405139263
2025-08-24,23844.955054292834
2025-08-25,23843.935703446405
2025-08-26,23842.916352599976
2025-08-27,23841.897001753547
2025-08-28,23840.877650907118
2025-08-29,23839.85830006069
2025-08-30,23838.83894921426
2025-08-31,23837.81959836783
2025-09-01,23836.8002475214
2025-09-02,23835.780896674973
2025-09-03,23834.761545828544
2025-09-04,23833.742194982115
2025-09-05,23832.722844135686
2025-09-06,23831.703493289257
2025-09-07,23830.684142442828
2025-09-08,23829.6647915964
2025-09-09,23828.64544074997
2025-09-10,23827.62608990354
2025-09-11,23826.60673905711
2025-09-12,23825.587388210683
2025-09-13,23824.568037364254
2025-09-14,23823.548686517825
2025-09-15,23822.529335671396
2025-09-16,23821.509984824967
2025-09-17,23820.490633978538
2025-09-18,23819.47128313211
2025-09-19,23818.45193228568
2025-09-20,23817.43258143925
2025-09-21,23816.41323059282
2025-09-22,23815.393879746392
2025-09-23,23814.374528899963
2025-09-24,23813.355178053534
2025-09-25,23812.335827207105
2025-09-26,23811.316476360676
2025-09-27,23810.297125514247
2025-09-28,23809.27777466782
2025-09-29,23808.25842382139
2025-09-30,23807.23907297496
2025-10-01,23806.21972212853
2025-10-02,23805.200371282102
2025-10-03,23804.181020435673
2025-10-04,23803.161669589244
2025-10-05,23802.142318742815
2025-10-06,23801.122967896386
2025-10-07,23800.103617049957
2025-10-08,23799.08426620353
2025-10-09,23798.0649153571
2025-10-10,23797.04556451067
2025-10-11,23796.02621366424
2025-10-12,23795.006862817812
2025-10-13,23793.987511971383
2025-10-14,23792.968161124954
2025-10-15,23791.948810278525
2025-10-16,23790.929459432096
2025-10-17,23789.910108585667
2025-10-18,23788.89075773924
2025-10-19,23787.87140689281
2025-10-20,23786.85205604638
2025-10-21,23785.83270519995
2025-10-22,23784.813354353522
2025-10-23,23783.794003507093
2025-10-24,23782.774652660664
2025-10-25,23781.755301814235
2025-10-26,23780.735950967806
2025-10-27,23779.716600121377
2025-10-28,23778.69724927495
2025-10-29,23777.67789842852
