date,y_hat
2025-07-02,19803.1496287114
2025-07-03,19806.299257422797
2025-07-04,19809.448886134196
2025-07-05,19812.598514845595
2025-07-06,19815.748143556993
2025-07-07,19818.897772268392
2025-07-08,19822.04740097979
2025-07-09,19825.19702969119
2025-07-10,19828.34665840259
2025-07-11,19831.496287113987
2025-07-12,19834.645915825386
2025-07-13,19837.795544536784
2025-07-14,19840.945173248183
2025-07-15,19844.09480195958
2025-07-16,19847.24443067098
2025-07-17,19850.39405938238
2025-07-18,19853.543688093778
2025-07-19,19856.693316805176
2025-07-20,19859.842945516575
2025-07-21,19862.992574227974
2025-07-22,19866.142202939373
2025-07-23,19869.29183165077
2025-07-24,19872.44146036217
2025-07-25,19875.59108907357
2025-07-26,19878.740717784967
2025-07-27,19881.890346496366
2025-07-28,19885.039975207765
2025-07-29,19888.189603919163
2025-07-30,19891.339232630562
2025-07-31,19894.48886134196
2025-08-01,19897.63849005336
2025-08-02,19900.788118764758
2025-08-03,19903.937747476157
2025-08-04,19907.087376187555
2025-08-05,19910.237004898954
2025-08-06,19913.386633610353
2025-08-07,19916.53626232175
2025-08-08,19919.68589103315
2025-08-09,19922.83551974455
2025-08-10,19925.985148455948
2025-08-11,19929.134777167346
2025-08-12,19932.284405878745
2025-08-13,19935.434034590144
2025-08-14,19938.583663301542
2025-08-15,19941.73329201294
2025-08-16,19944.88292072434
2025-08-17,19948.03254943574
2025-08-18,19951.182178147137
2025-08-19,19954.331806858536
2025-08-20,19957.481435569935
2025-08-21,19960.631064281333
2025-08-22,19963.780692992732
2025-08-23,19966.93032170413
2025-08-24,19970.07995041553
2025-08-25,19973.229579126928
2025-08-26,19976.379207838327
2025-08-27,19979.528836549725
2025-08-28,19982.678465261124
2025-08-29,19985.828093972523
2025-08-30,19988.97772268392
2025-08-31,19992.12735139532
2025-09-01,19995.27698010672
2025-09-02,19998.426608818118
2025-09-03,20001.576237529516
2025-09-04,20004.725866240915
2025-09-05,20007.875494952314
2025-09-06,20011.025123663712
2025-09-07,20014.17475237511
2025-09-08,20017.32438108651
2025-09-09,20020.47400979791
2025-09-10,20023.623638509307
2025-09-11,20026.773267220706
2025-09-12,20029.922895932104
2025-09-13,20033.072524643503
2025-09-14,20036.222153354902
2025-09-15,20039.3717820663
2025-09-16,20042.5214107777
2025-09-17,20045.671039489098
2025-09-18,20048.820668200497
2025-09-19,20051.970296911895
2025-09-20,20055.119925623294
2025-09-21,20058.269554334693
2025-09-22,20061.41918304609
2025-09-23,20064.56881175749
2025-09-24,20067.71844046889
2025-09-25,20070.868069180287
2025-09-26,20074.017697891686
2025-09-27,20077.167326603085
2025-09-28,20080.316955314483
2025-09-29,20083.466584025882
2025-09-30,20086.61621273728
2025-10-01,20089.76584144868
2025-10-02,20092.91547016008
2025-10-03,20096.065098871477
2025-10-04,20099.214727582876
2025-10-05,20102.364356294274
2025-10-06,20105.513985005673
2025-10-07,20108.66361371707
2025-10-08,20111.81324242847
2025-10-09,20114.96287113987
2025-10-10,20118.112499851268
2025-10-11,20121.262128562666
2025-10-12,20124.411757274065
2025-10-13,20127.561385985464
2025-10-14,20130.711014696863
2025-10-15,20133.86064340826
2025-10-16,20137.01027211966
2025-10-17,20140.15990083106
2025-10-18,20143.309529542457
2025-10-19,20146.459158253856
2025-10-20,20149.608786965255
2025-10-21,20152.758415676653
2025-10-22,20155.908044388052
2025-10-23,20159.05767309945
2025-10-24,20162.20730181085
2025-10-25,20165.356930522248
2025-10-26,20168.506559233647
2025-10-27,20171.656187945046
2025-10-28,20174.805816656444
2025-10-29,20177.955445367843
