date,y_hat
2025-07-02,21851.954233129814
2025-07-03,21853.90846625963
2025-07-04,21855.862699389443
2025-07-05,21857.816932519258
2025-07-06,21859.771165649072
2025-07-07,21861.725398778886
2025-07-08,21863.6796319087
2025-07-09,21865.633865038515
2025-07-10,21867.58809816833
2025-07-11,21869.542331298144
2025-07-12,21871.49656442796
2025-07-13,21873.450797557773
2025-07-14,21875.405030687587
2025-07-15,21877.3592638174
2025-07-16,21879.313496947216
2025-07-17,21881.26773007703
2025-07-18,21883.221963206845
2025-07-19,21885.17619633666
2025-07-20,21887.130429466473
2025-07-21,21889.084662596288
2025-07-22,21891.038895726102
2025-07-23,21892.993128855916
2025-07-24,21894.94736198573
2025-07-25,21896.901595115545
2025-07-26,21898.85582824536
2025-07-27,21900.810061375174
2025-07-28,21902.76429450499
2025-07-29,21904.718527634803
2025-07-30,21906.672760764617
2025-07-31,21908.62699389443
2025-08-01,21910.581227024246
2025-08-02,21912.53546015406
2025-08-03,21914.489693283875
2025-08-04,21916.44392641369
2025-08-05,21918.398159543503
2025-08-06,21920.352392673318
2025-08-07,21922.306625803132
2025-08-08,21924.260858932947
2025-08-09,21926.21509206276
2025-08-10,21928.169325192575
2025-08-11,21930.12355832239
2025-08-12,21932.077791452204
2025-08-13,21934.03202458202
2025-08-14,21935.986257711833
2025-08-15,21937.940490841647
2025-08-16,21939.89472397146
2025-08-17,21941.848957101276
2025-08-18,21943.80319023109
2025-08-19,21945.757423360905
2025-08-20,21947.71165649072
2025-08-21,21949.665889620534
2025-08-22,21951.620122750348
2025-08-23,21953.574355880162
2025-08-24,21955.528589009977
2025-08-25,21957.48282213979
2025-08-26,21959.437055269605
2025-08-27,21961.39128839942
2025-08-28,21963.345521529234
2025-08-29,21965.29975465905
2025-08-30,21967.253987788863
2025-08-31,21969.208220918677
2025-09-01,21971.16245404849
2025-09-02,21973.116687178306
2025-09-03,21975.07092030812
2025-09-04,21977.025153437935
2025-09-05,21978.97938656775
2025-09-06,21980.933619697564
2025-09-07,21982.887852827378
2025-09-08,21984.842085957192
2025-09-09,21986.796319087007
2025-09-10,21988.75055221682
2025-09-11,21990.704785346636
2025-09-12,21992.65901847645
2025-09-13,21994.613251606264
2025-09-14,21996.56748473608
2025-09-15,21998.521717865893
2025-09-16,22000.475950995708
2025-09-17,22002.430184125522
2025-09-18,22004.384417255336
2025-09-19,22006.33865038515
2025-09-20,22008.292883514965
2025-09-21,22010.24711664478
2025-09-22,22012.201349774594
2025-09-23,22014.15558290441
2025-09-24,22016.109816034223
2025-09-25,22018.064049164037
2025-09-26,22020.01828229385
2025-09-27,22021.972515423666
2025-09-28,22023.92674855348
2025-09-29,22025.880981683295
2025-09-30,22027.83521481311
2025-10-01,22029.789447942923
2025-10-02,22031.743681072738
2025-10-03,22033.697914202552
2025-10-04,22035.652147332366
2025-10-05,22037.60638046218
2025-10-06,22039.560613591995
2025-10-07,22041.51484672181
2025-10-08,22043.469079851624
2025-10-09,22045.42331298144
2025-10-10,22047.377546111253
2025-10-11,22049.331779241067
2025-10-12,22051.28601237088
2025-10-13,22053.240245500696
2025-10-14,22055.19447863051
2025-10-15,22057.148711760325
2025-10-16,22059.10294489014
2025-10-17,22061.057178019953
2025-10-18,22063.011411149768
2025-10-19,22064.965644279582
2025-10-20,22066.919877409397
2025-10-21,22068.87411053921
2025-10-22,22070.828343669025
2025-10-23,22072.78257679884
2025-10-24,22074.736809928654
2025-10-25,22076.69104305847
2025-10-26,22078.645276188283
2025-10-27,22080.599509318097
2025-10-28,22082.55374244791
2025-10-29,22084.507975577726
