date,y_hat
2025-07-02,20753.450402251634
2025-07-03,20756.900804503268
2025-07-04,20760.3512067549
2025-07-05,20763.801609006536
2025-07-06,20767.25201125817
2025-07-07,20770.702413509804
2025-07-08,20774.152815761438
2025-07-09,20777.60321801307
2025-07-10,20781.053620264705
2025-07-11,20784.50402251634
2025-07-12,20787.954424767973
2025-07-13,20791.404827019607
2025-07-14,20794.85522927124
2025-07-15,20798.305631522875
2025-07-16,20801.75603377451
2025-07-17,20805.206436026143
2025-07-18,20808.656838277777
2025-07-19,20812.10724052941
2025-07-20,20815.557642781045
2025-07-21,20819.00804503268
2025-07-22,20822.458447284313
2025-07-23,20825.908849535947
2025-07-24,20829.35925178758
2025-07-25,20832.809654039214
2025-07-26,20836.26005629085
2025-07-27,20839.710458542482
2025-07-28,20843.160860794116
2025-07-29,20846.61126304575
2025-07-30,20850.061665297384
2025-07-31,20853.512067549018
2025-08-01,20856.962469800652
2025-08-02,20860.412872052286
2025-08-03,20863.86327430392
2025-08-04,20867.313676555554
2025-08-05,20870.764078807188
2025-08-06,20874.21448105882
2025-08-07,20877.664883310455
2025-08-08,20881.11528556209
2025-08-09,20884.565687813723
2025-08-10,20888.016090065357
2025-08-11,20891.46649231699
2025-08-12,20894.916894568625
2025-08-13,20898.36729682026
2025-08-14,20901.817699071893
2025-08-15,20905.268101323527
2025-08-16,20908.71850357516
2025-08-17,20912.168905826795
2025-08-18,20915.61930807843
2025-08-19,20919.069710330063
2025-08-20,20922.520112581697
2025-08-21,20925.97051483333
2025-08-22,20929.420917084964
2025-08-23,20932.8713193366
2025-08-24,20936.321721588232
2025-08-25,20939.772123839866
2025-08-26,20943.2225260915
2025-08-27,20946.672928343134
2025-08-28,20950.123330594768
2025-08-29,20953.573732846402
2025-08-30,20957.024135098036
2025-08-31,20960.47453734967
2025-09-01,20963.924939601304
2025-09-02,20967.375341852938
2025-09-03,20970.82574410457
2025-09-04,20974.276146356206
2025-09-05,20977.72654860784
2025-09-06,20981.176950859473
2025-09-07,20984.627353111107
2025-09-08,20988.07775536274
2025-09-09,20991.528157614375
2025-09-10,20994.97855986601
2025-09-11,20998.428962117643
2025-09-12,21001.879364369277
2025-09-13,21005.32976662091
2025-09-14,21008.780168872545
2025-09-15,21012.23057112418
2025-09-16,21015.680973375813
2025-09-17,21019.131375627447
2025-09-18,21022.58177787908
2025-09-19,21026.032180130715
2025-09-20,21029.48258238235
2025-09-21,21032.932984633982
2025-09-22,21036.383386885616
2025-09-23,21039.83378913725
2025-09-24,21043.284191388884
2025-09-25,21046.734593640518
2025-09-26,21050.184995892152
2025-09-27,21053.635398143786
2025-09-28,21057.08580039542
2025-09-29,21060.536202647054
2025-09-30,21063.986604898688
2025-10-01,21067.723684226774
2025-10-02,21071.46076355486
2025-10-03,21075.197842882946
2025-10-04,21078.934922211032
2025-10-05,21082.67200153912
2025-10-06,21086.409080867204
2025-10-07,21090.14616019529
2025-10-08,21093.883239523377
2025-10-09,21097.620318851463
2025-10-10,21101.35739817955
2025-10-11,21105.094477507635
2025-10-12,21108.83155683572
2025-10-13,21112.568636163807
2025-10-14,21116.305715491893
2025-10-15,21120.04279481998
2025-10-16,21123.779874148066
2025-10-17,21127.51695347615
2025-10-18,21131.254032804238
2025-10-19,21134.991112132324
2025-10-20,21138.72819146041
2025-10-21,21142.465270788496
2025-10-22,21146.202350116582
2025-10-23,21149.93942944467
2025-10-24,21153.676508772754
2025-10-25,21157.41358810084
2025-10-26,21161.150667428927
2025-10-27,21164.887746757013
2025-10-28,21168.6248260851
2025-10-29,21172.361905413185
