date,y_hat
2025-07-02,25519.19055309576
2025-07-03,25488.38110619152
2025-07-04,25457.571659287278
2025-07-05,25426.762212383037
2025-07-06,25395.952765478796
2025-07-07,25365.143318574555
2025-07-08,25348.388576652684
2025-07-09,25331.633834730812
2025-07-10,25314.87909280894
2025-07-11,25320.577587677868
2025-07-12,25326.276082546796
2025-07-13,25331.974577415724
2025-07-14,25337.67307228465
2025-07-15,25343.37156715358
2025-07-16,25349.070062022507
2025-07-17,25354.768556891435
2025-07-18,25360.467051760363
2025-07-19,25366.16554662929
2025-07-20,25371.86404149822
2025-07-21,25377.562536367146
2025-07-22,25383.261031236074
2025-07-23,25388.959526105
2025-07-24,25394.65802097393
2025-07-25,25400.356515842857
2025-07-26,25406.055010711785
2025-07-27,25411.753505580713
2025-07-28,25417.45200044964
2025-07-29,25423.15049531857
2025-07-30,25428.848990187496
2025-07-31,25434.547485056424
2025-08-01,25438.84436157897
2025-08-02,25443.141238101514
2025-08-03,25426.386496179643
2025-08-04,25409.63175425777
2025-08-05,25392.8770123359
2025-08-06,25376.122270414027
2025-08-07,25359.367528492156
2025-08-08,25363.6644050147
2025-08-09,25369.36289988363
2025-08-10,25375.061394752556
2025-08-11,25380.759889621484
2025-08-12,25386.458384490412
2025-08-13,25392.15687935934
2025-08-14,25397.855374228267
2025-08-15,25403.553869097195
2025-08-16,25409.252363966123
2025-08-17,25414.95085883505
2025-08-18,25420.64935370398
2025-08-19,25426.347848572907
2025-08-20,25432.046343441834
2025-08-21,25436.34321996438
2025-08-22,25440.640096486924
2025-08-23,25423.885354565053
2025-08-24,25407.13061264318
2025-08-25,25390.37587072131
2025-08-26,25373.621128799437
2025-08-27,25356.866386877566
2025-08-28,25361.16326340011
2025-08-29,25366.86175826904
2025-08-30,25372.560253137966
2025-08-31,25378.258748006894
2025-09-01,25383.957242875822
2025-09-02,25389.65573774475
2025-09-03,25395.354232613678
2025-09-04,25401.052727482605
2025-09-05,25406.751222351533
2025-09-06,25412.44971722046
2025-09-07,25418.14821208939
2025-09-08,25423.846706958317
2025-09-09,25429.545201827244
2025-09-10,25435.243696696172
2025-09-11,25439.540573218717
2025-09-12,25422.785831296846
2025-09-13,25406.031089374974
2025-09-14,25389.276347453102
2025-09-15,25372.52160553123
2025-09-16,25355.76686360936
2025-09-17,25360.063740131904
2025-09-18,25365.76223500083
2025-09-19,25371.46072986976
2025-09-20,25377.159224738687
2025-09-21,25382.857719607615
2025-09-22,25388.556214476543
2025-09-23,25394.25470934547
2025-09-24,25399.9532042144
2025-09-25,25405.651699083326
2025-09-26,25411.350193952254
2025-09-27,25417.04868882118
2025-09-28,25422.74718369011
2025-09-29,25428.445678559037
2025-09-30,25434.144173427965
2025-10-01,25441.72150305677
2025-10-02,25449.298832685578
2025-10-03,25435.824543869967
2025-10-04,25422.350255054356
2025-10-05,25408.875966238746
2025-10-06,25395.401677423135
2025-10-07,25381.927388607524
2025-10-08,25368.453099791914
2025-10-09,25354.978810976303
2025-10-10,25362.55614060511
2025-10-11,25371.535088580295
2025-10-12,25380.51403655548
2025-10-13,25389.492984530665
2025-10-14,25398.47193250585
2025-10-15,25407.450880481036
2025-10-16,25416.42982845622
2025-10-17,25425.408776431406
2025-10-18,25434.38772440659
2025-10-19,25443.366672381777
2025-10-20,25450.944002010583
2025-10-21,25458.52133163939
2025-10-22,25445.04704282378
2025-10-23,25431.572754008168
2025-10-24,25418.098465192557
2025-10-25,25404.624176376947
2025-10-26,25391.149887561336
2025-10-27,25377.675598745725
2025-10-28,25364.201309930115
2025-10-29,25350.727021114504
