date,y_hat
2025-07-02,20092.249968230328
2025-07-03,20084.499936460656
2025-07-04,20083.47798057192
2025-07-05,20080.579534983066
2025-07-06,20077.681089394213
2025-07-07,20076.659133505476
2025-07-08,20075.63717761674
2025-07-09,20074.615221728003
2025-07-10,20073.593265839267
2025-07-11,20072.57130995053
2025-07-12,20069.672864361677
2025-07-13,20066.774418772824
2025-07-14,20065.752462884087
2025-07-15,20064.73050699535
2025-07-16,20063.708551106614
2025-07-17,20062.686595217878
2025-07-18,20061.66463932914
2025-07-19,20058.766193740288
2025-07-20,20055.867748151435
2025-07-21,20054.8457922627
2025-07-22,20053.823836373962
2025-07-23,20052.801880485225
2025-07-24,20051.77992459649
2025-07-25,20050.757968707752
2025-07-26,20047.8595231189
2025-07-27,20044.961077530046
2025-07-28,20043.93912164131
2025-07-29,20042.917165752573
2025-07-30,20041.895209863836
2025-07-31,20040.8732539751
2025-08-01,20042.884598555953
2025-08-02,20043.01945343669
2025-08-03,20043.154308317426
2025-08-04,20045.16565289828
2025-08-05,20047.17699747913
2025-08-06,20049.188342059984
2025-08-07,20051.199686640837
2025-08-08,20053.21103122169
2025-08-09,20053.345886102426
2025-08-10,20053.480740983163
2025-08-11,20055.492085564016
2025-08-12,20057.50343014487
2025-08-13,20059.51477472572
2025-08-14,20061.526119306574
2025-08-15,20063.537463887427
2025-08-16,20063.672318768164
2025-08-17,20063.8071736489
2025-08-18,20065.818518229753
2025-08-19,20067.829862810606
2025-08-20,20069.84120739146
2025-08-21,20071.85255197231
2025-08-22,20073.863896553165
2025-08-23,20073.9987514339
2025-08-24,20074.133606314637
2025-08-25,20076.14495089549
2025-08-26,20078.156295476343
2025-08-27,20080.167640057196
2025-08-28,20082.17898463805
2025-08-29,20084.1903292189
2025-08-30,20084.325184099638
2025-08-31,20084.460038980375
2025-09-01,20086.471383561227
2025-09-02,20088.48272814208
2025-09-03,20090.494072722933
2025-09-04,20092.505417303786
2025-09-05,20094.51676188464
2025-09-06,20094.651616765375
2025-09-07,20094.78647164611
2025-09-08,20096.797816226965
2025-09-09,20098.809160807818
2025-09-10,20100.82050538867
2025-09-11,20102.831849969523
2025-09-12,20104.843194550376
2025-09-13,20104.978049431113
2025-09-14,20105.11290431185
2025-09-15,20107.124248892702
2025-09-16,20109.135593473555
2025-09-17,20111.146938054408
2025-09-18,20113.15828263526
2025-09-19,20115.169627216113
2025-09-20,20115.30448209685
2025-09-21,20115.439336977586
2025-09-22,20117.45068155844
2025-09-23,20119.462026139292
2025-09-24,20121.473370720145
2025-09-25,20123.484715300998
2025-09-26,20125.49605988185
2025-09-27,20125.630914762587
2025-09-28,20125.765769643323
2025-09-29,20127.777114224176
2025-09-30,20129.78845880503
2025-10-01,20131.799803385882
2025-10-02,20133.811147966735
2025-10-03,20135.822492547588
2025-10-04,20135.957347428324
2025-10-05,20136.09220230906
2025-10-06,20138.103546889914
2025-10-07,20140.114891470766
2025-10-08,20142.12623605162
2025-10-09,20144.137580632472
2025-10-10,20146.148925213325
2025-10-11,20146.28378009406
2025-10-12,20146.418634974798
2025-10-13,20148.42997955565
2025-10-14,20150.441324136504
2025-10-15,20152.452668717357
2025-10-16,20154.46401329821
2025-10-17,20156.475357879062
2025-10-18,20156.6102127598
2025-10-19,20156.745067640535
2025-10-20,20158.756412221388
2025-10-21,20160.76775680224
2025-10-22,20162.779101383094
2025-10-23,20164.790445963947
2025-10-24,20166.8017905448
2025-10-25,20166.936645425536
2025-10-26,20167.071500306272
2025-10-27,20169.082844887125
2025-10-28,20164.36611358704
2025-10-29,20159.649382286952
