date,y_hat
2025-07-02,20641.61489960431
2025-07-03,20633.229799208617
2025-07-04,20624.844698812925
2025-07-05,20616.459598417234
2025-07-06,20608.074498021542
2025-07-07,20599.68939762585
2025-07-08,20591.30429723016
2025-07-09,20582.919196834468
2025-07-10,20574.534096438776
2025-07-11,20566.148996043084
2025-07-12,20557.763895647393
2025-07-13,20549.3787952517
2025-07-14,20540.99369485601
2025-07-15,20532.60859446032
2025-07-16,20524.223494064627
2025-07-17,20515.838393668935
2025-07-18,20507.453293273244
2025-07-19,20499.068192877552
2025-07-20,20490.68309248186
2025-07-21,20482.29799208617
2025-07-22,20473.912891690477
2025-07-23,20465.527791294786
2025-07-24,20457.142690899094
2025-07-25,20448.757590503403
2025-07-26,20440.37249010771
2025-07-27,20431.98738971202
2025-07-28,20423.602289316328
2025-07-29,20415.217188920637
2025-07-30,20406.832088524945
2025-07-31,20398.446988129253
2025-08-01,20390.061887733562
2025-08-02,20381.67678733787
2025-08-03,20373.29168694218
2025-08-04,20364.906586546487
2025-08-05,20356.521486150796
2025-08-06,20348.136385755104
2025-08-07,20339.751285359413
2025-08-08,20331.36618496372
2025-08-09,20322.98108456803
2025-08-10,20314.595984172338
2025-08-11,20306.210883776646
2025-08-12,20297.825783380955
2025-08-13,20289.440682985263
2025-08-14,20281.05558258957
2025-08-15,20272.67048219388
2025-08-16,20264.28538179819
2025-08-17,20255.900281402497
2025-08-18,20247.515181006806
2025-08-19,20239.130080611114
2025-08-20,20235.3385645317
2025-08-21,20231.547048452285
2025-08-22,20227.75553237287
2025-08-23,20223.964016293456
2025-08-24,20220.17250021404
2025-08-25,20216.380984134626
2025-08-26,20212.589468055212
2025-08-27,20208.797951975797
2025-08-28,20205.006435896383
2025-08-29,20205.160533033857
2025-08-30,20205.31463017133
2025-08-31,20205.468727308806
2025-09-01,20205.62282444628
2025-09-02,20205.776921583754
2025-09-03,20205.93101872123
2025-09-04,20206.085115858703
2025-09-05,20206.239212996177
2025-09-06,20206.49424184632
2025-09-07,20206.749270696466
2025-09-08,20207.00429954661
2025-09-09,20207.259328396754
2025-09-10,20207.5143572469
2025-09-11,20207.769386097043
2025-09-12,20208.024414947187
2025-09-13,20208.27944379733
2025-09-14,20208.534472647476
2025-09-15,20208.78950149762
2025-09-16,20209.044530347765
2025-09-17,20209.29955919791
2025-09-18,20209.554588048053
2025-09-19,20209.809616898197
2025-09-20,20210.06464574834
2025-09-21,20210.319674598486
2025-09-22,20210.57470344863
2025-09-23,20210.829732298775
2025-09-24,20211.08476114892
2025-09-25,20211.339789999063
2025-09-26,20211.594818849208
2025-09-27,20211.84984769935
2025-09-28,20212.104876549496
2025-09-29,20212.35990539964
2025-09-30,20212.614934249785
2025-10-01,20212.86996309993
2025-10-02,20213.124991950073
2025-10-03,20213.380020800218
2025-10-04,20213.635049650362
2025-10-05,20213.890078500506
2025-10-06,20214.14510735065
2025-10-07,20214.400136200795
2025-10-08,20214.65516505094
2025-10-09,20214.910193901083
2025-10-10,20215.165222751228
2025-10-11,20215.420251601372
2025-10-12,20215.675280451516
2025-10-13,20215.93030930166
2025-10-14,20216.185338151805
2025-10-15,20216.44036700195
2025-10-16,20216.695395852093
2025-10-17,20216.950424702238
2025-10-18,20217.205453552382
2025-10-19,20217.460482402526
2025-10-20,20217.71551125267
2025-10-21,20217.970540102815
2025-10-22,20218.22556895296
2025-10-23,20218.480597803104
2025-10-24,20218.735626653248
2025-10-25,20218.990655503392
2025-10-26,20219.245684353536
2025-10-27,20219.50071320368
2025-10-28,20219.755742053825
2025-10-29,20220.01077090397
