date,y_hat
2025-07-02,20702.33602850907
2025-07-03,20704.672057018142
2025-07-04,20707.008085527214
2025-07-05,20709.344114036285
2025-07-06,20711.680142545356
2025-07-07,20712.054416562456
2025-07-08,20712.428690579556
2025-07-09,20714.764719088627
2025-07-10,20717.1007475977
2025-07-11,20719.43677610677
2025-07-12,20721.77280461584
2025-07-13,20724.108833124912
2025-07-14,20724.483107142012
2025-07-15,20724.857381159112
2025-07-16,20727.193409668183
2025-07-17,20729.529438177255
2025-07-18,20731.865466686326
2025-07-19,20734.201495195397
2025-07-20,20736.53752370447
2025-07-21,20736.91179772157
2025-07-22,20737.28607173867
2025-07-23,20739.62210024774
2025-07-24,20741.95812875681
2025-07-25,20744.294157265882
2025-07-26,20746.630185774953
2025-07-27,20748.966214284024
2025-07-28,20749.340488301124
2025-07-29,20749.714762318225
2025-07-30,20752.050790827296
2025-07-31,20754.386819336367
2025-08-01,20756.722847845438
2025-08-02,20759.05887635451
2025-08-03,20761.39490486358
2025-08-04,20761.76917888068
2025-08-05,20762.14345289778
2025-08-06,20764.479481406852
2025-08-07,20766.815509915923
2025-08-08,20769.151538424994
2025-08-09,20771.487566934065
2025-08-10,20773.823595443137
2025-08-11,20774.197869460237
2025-08-12,20774.572143477337
2025-08-13,20776.908171986408
2025-08-14,20779.24420049548
2025-08-15,20781.58022900455
2025-08-16,20783.91625751362
2025-08-17,20786.252286022693
2025-08-18,20786.626560039793
2025-08-19,20787.000834056893
2025-08-20,20789.336862565964
2025-08-21,20791.672891075035
2025-08-22,20794.008919584106
2025-08-23,20796.344948093178
2025-08-24,20798.68097660225
2025-08-25,20799.05525061935
2025-08-26,20799.42952463645
2025-08-27,20801.76555314552
2025-08-28,20804.10158165459
2025-08-29,20806.437610163663
2025-08-30,20808.773638672734
2025-08-31,20811.109667181805
2025-09-01,20811.483941198905
2025-09-02,20811.858215216005
2025-09-03,20814.194243725076
2025-09-04,20816.530272234148
2025-09-05,20818.86630074322
2025-09-06,20821.20232925229
2025-09-07,20823.53835776136
2025-09-08,20823.91263177846
2025-09-09,20824.28690579556
2025-09-10,20826.622934304633
2025-09-11,20828.958962813704
2025-09-12,20831.294991322775
2025-09-13,20833.631019831846
2025-09-14,20835.967048340917
2025-09-15,20836.341322358017
2025-09-16,20836.715596375117
2025-09-17,20839.05162488419
2025-09-18,20841.38765339326
2025-09-19,20843.72368190233
2025-09-20,20846.059710411402
2025-09-21,20848.395738920473
2025-09-22,20848.770012937573
2025-09-23,20849.144286954674
2025-09-24,20851.480315463745
2025-09-25,20853.816343972816
2025-09-26,20856.152372481887
2025-09-27,20858.48840099096
2025-09-28,20860.82442950003
2025-09-29,20861.19870351713
2025-09-30,20861.57297753423
2025-10-01,20864.204099950846
2025-10-02,20866.835222367463
2025-10-03,20869.46634478408
2025-10-04,20872.097467200696
2025-10-05,20874.728589617313
2025-10-06,20875.39795754196
2025-10-07,20876.06732546661
2025-10-08,20878.698447883227
2025-10-09,20881.329570299844
2025-10-10,20883.96069271646
2025-10-11,20886.591815133077
2025-10-12,20889.222937549694
2025-10-13,20889.892305474343
2025-10-14,20890.561673398992
2025-10-15,20893.19279581561
2025-10-16,20895.823918232225
2025-10-17,20898.45504064884
2025-10-18,20901.086163065458
2025-10-19,20903.717285482075
2025-10-20,20904.386653406724
2025-10-21,20905.056021331373
2025-10-22,20907.68714374799
2025-10-23,20910.318266164606
2025-10-24,20912.949388581223
2025-10-25,20915.58051099784
2025-10-26,20918.211633414456
2025-10-27,20918.881001339105
2025-10-28,20919.550369263754
2025-10-29,20922.18149168037
