date,y_hat
2025-07-02,20648.350755500618
2025-07-03,20646.701511001236
2025-07-04,20645.052266501854
2025-07-05,20643.403022002472
2025-07-06,20641.75377750309
2025-07-07,20640.10453300371
2025-07-08,20638.455288504327
2025-07-09,20636.806044004945
2025-07-10,20635.156799505563
2025-07-11,20633.50755500618
2025-07-12,20631.8583105068
2025-07-13,20630.209066007417
2025-07-14,20628.559821508035
2025-07-15,20626.910577008653
2025-07-16,20625.26133250927
2025-07-17,20623.61208800989
2025-07-18,20621.962843510508
2025-07-19,20620.313599011126
2025-07-20,20618.664354511744
2025-07-21,20617.015110012362
2025-07-22,20615.36586551298
2025-07-23,20613.7166210136
2025-07-24,20612.067376514216
2025-07-25,20610.418132014835
2025-07-26,20608.768887515453
2025-07-27,20607.11964301607
2025-07-28,20605.47039851669
2025-07-29,20603.821154017307
2025-07-30,20602.171909517925
2025-07-31,20600.522665018543
2025-08-01,20598.87342051916
2025-08-02,20597.22417601978
2025-08-03,20595.574931520398
2025-08-04,20593.925687021016
2025-08-05,20592.276442521634
2025-08-06,20590.627198022252
2025-08-07,20588.97795352287
2025-08-08,20587.328709023488
2025-08-09,20585.679464524106
2025-08-10,20584.030220024724
2025-08-11,20582.380975525342
2025-08-12,20580.73173102596
2025-08-13,20579.08248652658
2025-08-14,20577.433242027197
2025-08-15,20575.783997527815
2025-08-16,20574.134753028433
2025-08-17,20572.48550852905
2025-08-18,20570.83626402967
2025-08-19,20569.187019530287
2025-08-20,20567.537775030905
2025-08-21,20565.888530531523
2025-08-22,20564.23928603214
2025-08-23,20562.59004153276
2025-08-24,20560.940797033378
2025-08-25,20559.291552533996
2025-08-26,20557.642308034614
2025-08-27,20555.993063535232
2025-08-28,20554.34381903585
2025-08-29,20552.69457453647
2025-08-30,20551.045330037086
2025-08-31,20549.396085537704
2025-09-01,20547.746841038323
2025-09-02,20546.09759653894
2025-09-03,20544.44835203956
2025-09-04,20542.799107540177
2025-09-05,20541.149863040795
2025-09-06,20539.500618541413
2025-09-07,20537.85137404203
2025-09-08,20536.20212954265
2025-09-09,20534.552885043267
2025-09-10,20532.903640543886
2025-09-11,20531.254396044504
2025-09-12,20529.60515154512
2025-09-13,20527.95590704574
2025-09-14,20526.306662546358
2025-09-15,20524.657418046976
2025-09-16,20523.008173547594
2025-09-17,20521.358929048212
2025-09-18,20519.70968454883
2025-09-19,20518.06044004945
2025-09-20,20516.411195550067
2025-09-21,20514.761951050685
2025-09-22,20513.112706551303
2025-09-23,20511.46346205192
2025-09-24,20509.81421755254
2025-09-25,20508.164973053157
2025-09-26,20506.515728553775
2025-09-27,20504.866484054393
2025-09-28,20503.21723955501
2025-09-29,20501.56799505563
2025-09-30,20499.918750556248
2025-10-01,20498.269506056866
2025-10-02,20496.620261557484
2025-10-03,20494.971017058102
2025-10-04,20493.32177255872
2025-10-05,20491.67252805934
2025-10-06,20490.023283559956
2025-10-07,20488.374039060574
2025-10-08,20486.724794561193
2025-10-09,20485.07555006181
2025-10-10,20483.42630556243
2025-10-11,20481.777061063047
2025-10-12,20480.127816563665
2025-10-13,20478.478572064283
2025-10-14,20476.8293275649
2025-10-15,20475.18008306552
2025-10-16,20473.530838566137
2025-10-17,20471.881594066755
2025-10-18,20470.232349567374
2025-10-19,20468.58310506799
2025-10-20,20466.93386056861
2025-10-21,20465.284616069228
2025-10-22,20463.635371569846
2025-10-23,20461.986127070464
2025-10-24,20460.336882571082
2025-10-25,20458.6876380717
2025-10-26,20457.03839357232
2025-10-27,20455.389149072937
2025-10-28,20453.739904573555
2025-10-29,20452.090660074173
