date,y_hat
2025-07-02,22749.91586869979
2025-07-03,22749.83173739958
2025-07-04,22749.747606099372
2025-07-05,22749.663474799163
2025-07-06,22749.579343498954
2025-07-07,22749.495212198744
2025-07-08,22749.411080898535
2025-07-09,22749.326949598326
2025-07-10,22749.242818298117
2025-07-11,22749.158686997907
2025-07-12,22749.074555697698
2025-07-13,22748.99042439749
2025-07-14,22748.90629309728
2025-07-15,22748.82216179707
2025-07-16,22748.73803049686
2025-07-17,22748.65389919665
2025-07-18,22748.569767896442
2025-07-19,22748.485636596233
2025-07-20,22748.401505296024
2025-07-21,22748.317373995815
2025-07-22,22748.233242695605
2025-07-23,22748.149111395396
2025-07-24,22748.064980095187
2025-07-25,22747.980848794978
2025-07-26,22747.89671749477
2025-07-27,22747.81258619456
2025-07-28,22747.72845489435
2025-07-29,22747.64432359414
2025-07-30,22747.56019229393
2025-07-31,22747.476060993722
2025-08-01,22747.391929693513
2025-08-02,22747.307798393304
2025-08-03,22747.223667093094
2025-08-04,22747.139535792885
2025-08-05,22747.055404492676
2025-08-06,22746.971273192466
2025-08-07,22746.887141892257
2025-08-08,22746.803010592048
2025-08-09,22746.71887929184
2025-08-10,22746.63474799163
2025-08-11,22746.55061669142
2025-08-12,22746.46648539121
2025-08-13,22746.382354091
2025-08-14,22746.298222790792
2025-08-15,22746.214091490583
2025-08-16,22746.129960190374
2025-08-17,22746.045828890165
2025-08-18,22745.961697589955
2025-08-19,22745.877566289746
2025-08-20,22745.793434989537
2025-08-21,22745.709303689327
2025-08-22,22745.62517238912
2025-08-23,22745.54104108891
2025-08-24,22745.4569097887
2025-08-25,22745.37277848849
2025-08-26,22745.28864718828
2025-08-27,22745.204515888072
2025-08-28,22745.120384587863
2025-08-29,22745.036253287653
2025-08-30,22744.952121987444
2025-08-31,22744.867990687235
2025-09-01,22744.783859387026
2025-09-02,22744.699728086816
2025-09-03,22744.615596786607
2025-09-04,22744.531465486398
2025-09-05,22744.44733418619
2025-09-06,22744.36320288598
2025-09-07,22744.27907158577
2025-09-08,22744.19494028556
2025-09-09,22744.11080898535
2025-09-10,22744.026677685142
2025-09-11,22743.942546384933
2025-09-12,22743.858415084724
2025-09-13,22743.774283784514
2025-09-14,22743.690152484305
2025-09-15,22743.606021184096
2025-09-16,22743.521889883887
2025-09-17,22743.437758583677
2025-09-18,22743.353627283468
2025-09-19,22743.26949598326
2025-09-20,22743.18536468305
2025-09-21,22743.10123338284
2025-09-22,22743.01710208263
2025-09-23,22742.93297078242
2025-09-24,22742.848839482212
2025-09-25,22742.764708182003
2025-09-26,22742.680576881794
2025-09-27,22742.596445581585
2025-09-28,22742.512314281375
2025-09-29,22742.428182981166
2025-09-30,22742.344051680957
2025-10-01,22742.259920380748
2025-10-02,22742.17578908054
2025-10-03,22742.09165778033
2025-10-04,22742.00752648012
2025-10-05,22741.92339517991
2025-10-06,22741.8392638797
2025-10-07,22741.755132579492
2025-10-08,22741.671001279283
2025-10-09,22741.586869979074
2025-10-10,22741.502738678864
2025-10-11,22741.418607378655
2025-10-12,22741.334476078446
2025-10-13,22741.250344778236
2025-10-14,22741.166213478027
2025-10-15,22741.082082177818
2025-10-16,22740.99795087761
2025-10-17,22740.9138195774
2025-10-18,22740.82968827719
2025-10-19,22740.74555697698
2025-10-20,22740.66142567677
2025-10-21,22740.577294376562
2025-10-22,22740.493163076353
2025-10-23,22740.409031776144
2025-10-24,22740.324900475935
2025-10-25,22740.240769175725
2025-10-26,22740.156637875516
2025-10-27,22740.072506575307
2025-10-28,22739.988375275097
2025-10-29,22739.90424397489
