date,y_hat
2025-07-02,19629.829435754862
2025-07-03,19609.658871509724
2025-07-04,19589.488307264586
2025-07-05,19569.31774301945
2025-07-06,19549.14717877431
2025-07-07,19530.370035231284
2025-07-08,19510.199470986146
2025-07-09,19490.02890674101
2025-07-10,19469.85834249587
2025-07-11,19449.687778250733
2025-07-12,19429.517214005595
2025-07-13,19409.346649760457
2025-07-14,19390.56950621743
2025-07-15,19370.398941972293
2025-07-16,19350.228377727155
2025-07-17,19336.112971404644
2025-07-18,19321.997565082132
2025-07-19,19307.88215875962
2025-07-20,19293.76675243711
2025-07-21,19281.04476681671
2025-07-22,19266.9293604942
2025-07-23,19252.81395417169
2025-07-24,19238.698547849177
2025-07-25,19224.583141526666
2025-07-26,19210.467735204154
2025-07-27,19196.352328881643
2025-07-28,19183.630343261244
2025-07-29,19169.514936938733
2025-07-30,19155.39953061622
2025-07-31,19141.28412429371
2025-08-01,19131.605000033658
2025-08-02,19121.925875773606
2025-08-03,19112.246751513554
2025-08-04,19103.96104795561
2025-08-05,19094.28192369556
2025-08-06,19084.602799435506
2025-08-07,19074.923675175454
2025-08-08,19065.244550915402
2025-08-09,19055.56542665535
2025-08-10,19045.886302395298
2025-08-11,19037.600598837354
2025-08-12,19027.921474577302
2025-08-13,19018.24235031725
2025-08-14,19008.5632260572
2025-08-15,18998.884101797146
2025-08-16,18989.204977537094
2025-08-17,18979.525853277042
2025-08-18,18971.2401497191
2025-08-19,18961.561025459047
2025-08-20,18951.881901198994
2025-08-21,18942.202776938942
2025-08-22,18932.52365267889
2025-08-23,18922.84452841884
2025-08-24,18913.165404158786
2025-08-25,18904.879700600843
2025-08-26,18895.20057634079
2025-08-27,18885.52145208074
2025-08-28,18875.842327820686
2025-08-29,18866.163203560634
2025-08-30,18856.484079300582
2025-08-31,18846.80495504053
2025-09-01,18838.519251482587
2025-09-02,18828.840127222535
2025-09-03,18819.161002962483
2025-09-04,18823.29175720957
2025-09-05,18827.422511456654
2025-09-06,18831.55326570374
2025-09-07,18835.684019950826
2025-09-08,18841.20819490002
2025-09-09,18845.338949147106
2025-09-10,18849.469703394192
2025-09-11,18853.600457641278
2025-09-12,18857.731211888364
2025-09-13,18861.86196613545
2025-09-14,18865.992720382535
2025-09-15,18871.51689533173
2025-09-16,18875.647649578816
2025-09-17,18879.7784038259
2025-09-18,18883.909158072987
2025-09-19,18888.039912320073
2025-09-20,18892.17066656716
2025-09-21,18896.301420814245
2025-09-22,18901.82559576344
2025-09-23,18905.956350010525
2025-09-24,18910.08710425761
2025-09-25,18914.217858504697
2025-09-26,18918.348612751783
2025-09-27,18922.47936699887
2025-09-28,18926.610121245954
2025-09-29,18932.13429619515
2025-09-30,18936.265050442234
2025-10-01,18942.87537355191
2025-10-02,18949.485696661584
2025-10-03,18956.09601977126
2025-10-04,18962.706342880934
2025-10-05,18969.31666599061
2025-10-06,18977.320409802393
2025-10-07,18983.930732912067
2025-10-08,18990.541056021742
2025-10-09,18997.151379131417
2025-10-10,19003.761702241092
2025-10-11,19010.372025350767
2025-10-12,19016.982348460442
2025-10-13,19024.986092272226
2025-10-14,19031.5964153819
2025-10-15,19038.206738491575
2025-10-16,19044.81706160125
2025-10-17,19037.617506203787
2025-10-18,19030.417950806324
2025-10-19,19023.21839540886
2025-10-20,19017.412260713507
2025-10-21,19010.212705316044
2025-10-22,19003.01314991858
2025-10-23,18995.813594521118
2025-10-24,18988.614039123655
2025-10-25,18981.414483726192
2025-10-26,18974.21492832873
2025-10-27,18968.408793633374
2025-10-28,18961.20923823591
2025-10-29,18954.00968283845
