date,y_hat
2025-07-02,20292.019285942577
2025-07-03,20284.038571885154
2025-07-04,20273.59338183857
2025-07-05,20263.14819179199
2025-07-06,20252.703001745405
2025-07-07,20245.025829634025
2025-07-08,20237.348657522645
2025-07-09,20229.367943465222
2025-07-10,20221.3872294078
2025-07-11,20210.942039361216
2025-07-12,20200.496849314633
2025-07-13,20190.05165926805
2025-07-14,20182.37448715667
2025-07-15,20174.69731504529
2025-07-16,20166.716600987867
2025-07-17,20158.735886930444
2025-07-18,20148.29069688386
2025-07-19,20137.84550683728
2025-07-20,20127.400316790696
2025-07-21,20119.723144679316
2025-07-22,20112.045972567936
2025-07-23,20104.065258510513
2025-07-24,20096.08454445309
2025-07-25,20085.639354406507
2025-07-26,20075.194164359924
2025-07-27,20064.74897431334
2025-07-28,20057.07180220196
2025-07-29,20049.39463009058
2025-07-30,20041.413916033158
2025-07-31,20033.433201975735
2025-08-01,20022.988011929152
2025-08-02,20012.54282188257
2025-08-03,20002.097631835986
2025-08-04,19994.420459724606
2025-08-05,19986.743287613226
2025-08-06,19978.762573555803
2025-08-07,19970.78185949838
2025-08-08,19960.336669451797
2025-08-09,19949.891479405214
2025-08-10,19939.44628935863
2025-08-11,19931.76911724725
2025-08-12,19924.09194513587
2025-08-13,19916.11123107845
2025-08-14,19908.130517021025
2025-08-15,19897.685326974442
2025-08-16,19887.24013692786
2025-08-17,19876.794946881277
2025-08-18,19869.117774769897
2025-08-19,19861.440602658517
2025-08-20,19853.459888601094
2025-08-21,19845.47917454367
2025-08-22,19835.033984497088
2025-08-23,19824.588794450505
2025-08-24,19814.143604403922
2025-08-25,19806.466432292542
2025-08-26,19798.78926018116
2025-08-27,19790.80854612374
2025-08-28,19782.827832066316
2025-08-29,19772.382642019733
2025-08-30,19761.93745197315
2025-08-31,19751.492261926567
2025-09-01,19748.950522230272
2025-09-02,19746.408782533978
2025-09-03,19743.56350089164
2025-09-04,19740.718219249302
2025-09-05,19735.408461617804
2025-09-06,19730.098703986307
2025-09-07,19724.78894635481
2025-09-08,19722.247206658514
2025-09-09,19719.70546696222
2025-09-10,19716.86018531988
2025-09-11,19714.014903677544
2025-09-12,19708.705146046046
2025-09-13,19703.39538841455
2025-09-14,19698.08563078305
2025-09-15,19695.543891086756
2025-09-16,19693.00215139046
2025-09-17,19690.156869748123
2025-09-18,19687.311588105786
2025-09-19,19682.001830474288
2025-09-20,19676.69207284279
2025-09-21,19671.382315211293
2025-09-22,19668.840575514998
2025-09-23,19666.298835818703
2025-09-24,19663.453554176365
2025-09-25,19660.608272534027
2025-09-26,19655.29851490253
2025-09-27,19649.988757271032
2025-09-28,19644.678999639535
2025-09-29,19642.13725994324
2025-09-30,19639.595520246945
2025-10-01,19643.269033406108
2025-10-02,19646.94254656527
2025-10-03,19648.151583735274
2025-10-04,19649.360620905278
2025-10-05,19650.56965807528
2025-10-06,19654.546713180487
2025-10-07,19658.523768285693
2025-10-08,19662.197281444856
2025-10-09,19665.87079460402
2025-10-10,19667.079831774023
2025-10-11,19668.288868944026
2025-10-12,19669.49790611403
2025-10-13,19673.474961219235
2025-10-14,19677.45201632444
2025-10-15,19681.125529483605
2025-10-16,19684.799042642768
2025-10-17,19686.00807981277
2025-10-18,19687.217116982774
2025-10-19,19688.426154152778
2025-10-20,19692.403209257984
2025-10-21,19696.38026436319
2025-10-22,19700.053777522353
2025-10-23,19703.727290681516
2025-10-24,19704.93632785152
2025-10-25,19706.145365021523
2025-10-26,19707.354402191526
2025-10-27,19711.331457296732
2025-10-28,19715.308512401938
2025-10-29,19718.9820255611
