date,y_hat
2025-07-02,21827.48494279492
2025-07-03,21814.220206490507
2025-07-04,21801.076588835047
2025-07-05,21788.0299212633
2025-07-06,21774.983253691553
2025-07-07,21751.499004665922
2025-07-08,21728.951783796572
2025-07-09,21706.557845240444
2025-07-10,21694.749755351288
2025-07-11,21682.94166546213
2025-07-12,21665.936967387308
2025-07-13,21657.84012952118
2025-07-14,21645.09818441569
2025-07-15,21633.293267466477
2025-07-16,21621.641632830488
2025-07-17,21613.447844880648
2025-07-18,21605.254056930808
2025-07-19,21597.15721906468
2025-07-20,21589.060381198553
2025-07-21,21576.31843609306
2025-07-22,21564.51351914385
2025-07-23,21552.86188450786
2025-07-24,21547.240709757152
2025-07-25,21541.619535006444
2025-07-26,21536.09531033945
2025-07-27,21530.571085672455
2025-07-28,21520.401753766095
2025-07-29,21511.169450016016
2025-07-30,21502.09042857916
2025-07-31,21496.46925382845
2025-08-01,21491.2723915838
2025-08-02,21486.17247942286
2025-08-03,21481.072567261923
2025-08-04,21471.32754786162
2025-08-05,21462.107115094615
2025-08-06,21453.039964640833
2025-08-07,21447.4306608732
2025-08-08,21441.821357105568
2025-08-09,21436.309003421648
2025-08-10,21430.796649737727
2025-08-11,21420.639188814443
2025-08-12,21411.41875604744
2025-08-13,21402.351605593656
2025-08-14,21396.742301826023
2025-08-15,21391.13299805839
2025-08-16,21385.62064437447
2025-08-17,21380.10829069055
2025-08-18,21369.950829767266
2025-08-19,21360.73039700026
2025-08-20,21351.66324654648
2025-08-21,21346.053942778846
2025-08-22,21340.444639011213
2025-08-23,21334.932285327293
2025-08-24,21329.419931643373
2025-08-25,21319.26247072009
2025-08-26,21310.042037953084
2025-08-27,21300.974887499302
2025-08-28,21287.447153327106
2025-08-29,21273.91941915491
2025-08-30,21260.488635066427
2025-08-31,21247.057850977944
2025-09-01,21228.266552926878
2025-09-02,21210.41228303209
2025-09-03,21197.924823976955
2025-09-04,21188.89521160797
2025-09-05,21179.865599238987
2025-09-06,21170.932936953715
2025-09-07,21162.000274668444
2025-09-08,21148.422505143808
2025-09-09,21135.781763775452
2025-09-10,21123.29430472032
2025-09-11,21114.264692351335
2025-09-12,21105.23507998235
2025-09-13,21096.30241769708
2025-09-14,21087.369755411808
2025-09-15,21073.791985887172
2025-09-16,21061.151244518816
2025-09-17,21048.663785463683
2025-09-18,21039.6341730947
2025-09-19,21030.604560725715
2025-09-20,21031.430702034697
2025-09-21,21032.25684334368
2025-09-22,21032.483195551147
2025-09-23,21033.646575914896
2025-09-24,21034.963238591863
2025-09-25,21036.27990126883
2025-09-26,21037.596563945797
2025-09-27,21038.42270525478
2025-09-28,21039.24884656376
2025-09-29,21039.47519877123
2025-09-30,21040.63857913498
2025-10-01,21047.583420469135
2025-10-02,21054.52826180329
2025-10-03,21061.473103137447
2025-10-04,21067.927423103618
2025-10-05,21074.38174306979
2025-10-06,21080.389556247665
2025-10-07,21087.33439758182
2025-10-08,21094.279238915977
2025-10-09,21101.224080250133
2025-10-10,21108.16892158429
2025-10-11,21114.62324155046
2025-10-12,21121.07756151663
2025-10-13,21127.085374694507
2025-10-14,21134.030216028663
2025-10-15,21140.97505736282
2025-10-16,21137.573623651024
2025-10-17,21134.17218993923
2025-10-18,21130.867706311146
2025-10-19,21127.563222683064
2025-10-20,21119.76691412884
2025-10-21,21112.90763373089
2025-10-22,21106.048353332942
2025-10-23,21102.646919621147
2025-10-24,21099.245485909352
2025-10-25,21095.94100228127
2025-10-26,21092.636518653188
2025-10-27,21084.840210098962
2025-10-28,21077.980929701014
2025-10-29,21071.121649303066
