date,y_hat
2025-07-02,21411.74656855321
2025-07-03,21373.493137106423
2025-07-04,21335.239705659635
2025-07-05,21296.986274212846
2025-07-06,21258.732842766058
2025-07-07,21228.04902955371
2025-07-08,21189.79559810692
2025-07-09,21151.542166660132
2025-07-10,21113.288735213344
2025-07-11,21075.035303766555
2025-07-12,21036.781872319767
2025-07-13,20998.52844087298
2025-07-14,20967.84462766063
2025-07-15,20929.59119621384
2025-07-16,20891.337764767053
2025-07-17,20853.084333320265
2025-07-18,20814.830901873476
2025-07-19,20776.577470426688
2025-07-20,20738.3240389799
2025-07-21,20707.64022576755
2025-07-22,20669.386794320762
2025-07-23,20631.133362873974
2025-07-24,20592.879931427186
2025-07-25,20554.626499980397
2025-07-26,20516.37306853361
2025-07-27,20478.11963708682
2025-07-28,20447.43582387447
2025-07-29,20409.182392427683
2025-07-30,20370.928960980895
2025-07-31,20332.675529534106
2025-08-01,20295.27237876531
2025-08-02,20257.86922799651
2025-08-03,20220.466077227713
2025-08-04,20190.632544693355
2025-08-05,20153.229393924557
2025-08-06,20115.82624315576
2025-08-07,20104.226900491376
2025-08-08,20092.627557826992
2025-08-09,20081.02821516261
2025-08-10,20069.428872498225
2025-08-11,20065.39914806828
2025-08-12,20053.799805403898
2025-08-13,20042.200462739514
2025-08-14,20030.60112007513
2025-08-15,20019.001777410747
2025-08-16,20007.402434746364
2025-08-17,19997.74427053701
2025-08-18,19995.655724562093
2025-08-19,19985.99756035274
2025-08-20,19978.078592237543
2025-08-21,19970.15962412235
2025-08-22,19962.240656007154
2025-08-23,19954.32168789196
2025-08-24,19946.402719776765
2025-08-25,19946.05336989601
2025-08-26,19938.134401780815
2025-08-27,19930.21543366562
2025-08-28,19922.296465550426
2025-08-29,19914.37749743523
2025-08-30,19906.458529320036
2025-08-31,19898.53956120484
2025-09-01,19898.190211324087
2025-09-02,19890.271243208892
2025-09-03,19882.352275093697
2025-09-04,19874.433306978503
2025-09-05,19866.514338863308
2025-09-06,19858.595370748113
2025-09-07,19850.67640263292
2025-09-08,19850.327052752164
2025-09-09,19842.40808463697
2025-09-10,19834.489116521774
2025-09-11,19826.57014840658
2025-09-12,19818.651180291385
2025-09-13,19810.73221217619
2025-09-14,19802.813244060995
2025-09-15,19802.46389418024
2025-09-16,19794.544926065046
2025-09-17,19786.62595794985
2025-09-18,19778.706989834656
2025-09-19,19770.78802171946
2025-09-20,19762.869053604267
2025-09-21,19754.950085489072
2025-09-22,19754.600735608317
2025-09-23,19746.681767493123
2025-09-24,19738.762799377928
2025-09-25,19730.843831262733
2025-09-26,19722.92486314754
2025-09-27,19715.005895032344
2025-09-28,19707.08692691715
2025-09-29,19706.737577036394
2025-09-30,19698.8186089212
2025-10-01,19690.899640806005
2025-10-02,19682.98067269081
2025-10-03,19675.061704575615
2025-10-04,19667.14273646042
2025-10-05,19659.223768345226
2025-10-06,19658.87441846447
2025-10-07,19650.955450349276
2025-10-08,19643.03648223408
2025-10-09,19635.117514118887
2025-10-10,19627.198546003692
2025-10-11,19619.279577888497
2025-10-12,19611.360609773303
2025-10-13,19611.011259892548
2025-10-14,19603.092291777353
2025-10-15,19595.17332366216
2025-10-16,19587.254355546964
2025-10-17,19579.33538743177
2025-10-18,19571.416419316574
2025-10-19,19563.49745120138
2025-10-20,19563.148101320625
2025-10-21,19555.22913320543
2025-10-22,19547.310165090235
2025-10-23,19539.39119697504
2025-10-24,19531.472228859846
2025-10-25,19524.853181040366
2025-10-26,19518.234133220885
2025-10-27,19519.184703635845
2025-10-28,19512.565655816365
2025-10-29,19505.946607996884
