date,y_hat
2025-07-02,20000.785363393472
2025-07-03,20001.570726786944
2025-07-04,20002.356090180416
2025-07-05,20003.141453573888
2025-07-06,20003.92681696736
2025-07-07,20004.71218036083
2025-07-08,20005.497543754303
2025-07-09,20006.282907147775
2025-07-10,20007.068270541247
2025-07-11,20007.85363393472
2025-07-12,20008.63899732819
2025-07-13,20009.424360721663
2025-07-14,20010.209724115135
2025-07-15,20010.995087508607
2025-07-16,20011.78045090208
2025-07-17,20012.56581429555
2025-07-18,20013.351177689023
2025-07-19,20014.136541082495
2025-07-20,20014.921904475967
2025-07-21,20015.70726786944
2025-07-22,20016.49263126291
2025-07-23,20017.277994656382
2025-07-24,20018.063358049854
2025-07-25,20018.848721443326
2025-07-26,20019.634084836798
2025-07-27,20020.41944823027
2025-07-28,20021.204811623742
2025-07-29,20021.990175017214
2025-07-30,20022.775538410686
2025-07-31,20023.560901804158
2025-08-01,20024.34626519763
2025-08-02,20025.1316285911
2025-08-03,20025.916991984574
2025-08-04,20026.702355378045
2025-08-05,20027.487718771517
2025-08-06,20028.27308216499
2025-08-07,20029.05844555846
2025-08-08,20029.843808951933
2025-08-09,20030.629172345405
2025-08-10,20031.414535738877
2025-08-11,20032.19989913235
2025-08-12,20032.98526252582
2025-08-13,20033.770625919293
2025-08-14,20034.555989312765
2025-08-15,20035.341352706237
2025-08-16,20036.12671609971
2025-08-17,20036.91207949318
2025-08-18,20037.697442886652
2025-08-19,20038.482806280124
2025-08-20,20039.268169673596
2025-08-21,20040.05353306707
2025-08-22,20040.83889646054
2025-08-23,20041.624259854012
2025-08-24,20042.409623247484
2025-08-25,20043.194986640956
2025-08-26,20043.980350034428
2025-08-27,20044.7657134279
2025-08-28,20045.55107682137
2025-08-29,20046.336440214844
2025-08-30,20047.121803608316
2025-08-31,20047.907167001787
2025-09-01,20048.69253039526
2025-09-02,20049.47789378873
2025-09-03,20050.263257182203
2025-09-04,20051.048620575675
2025-09-05,20051.833983969147
2025-09-06,20052.61934736262
2025-09-07,20053.40471075609
2025-09-08,20054.190074149563
2025-09-09,20054.975437543035
2025-09-10,20055.760800936507
2025-09-11,20056.54616432998
2025-09-12,20057.33152772345
2025-09-13,20058.116891116922
2025-09-14,20058.902254510394
2025-09-15,20059.687617903866
2025-09-16,20060.47298129734
2025-09-17,20061.25834469081
2025-09-18,20062.043708084282
2025-09-19,20062.829071477754
2025-09-20,20063.614434871226
2025-09-21,20064.399798264698
2025-09-22,20065.18516165817
2025-09-23,20065.97052505164
2025-09-24,20066.755888445114
2025-09-25,20067.541251838586
2025-09-26,20068.326615232058
2025-09-27,20069.11197862553
2025-09-28,20069.897342019
2025-09-29,20070.682705412473
2025-09-30,20071.468068805945
2025-10-01,20072.253432199417
2025-10-02,20073.03879559289
2025-10-03,20073.82415898636
2025-10-04,20074.609522379833
2025-10-05,20075.394885773305
2025-10-06,20076.180249166777
2025-10-07,20076.96561256025
2025-10-08,20077.75097595372
2025-10-09,20078.536339347193
2025-10-10,20079.321702740664
2025-10-11,20080.107066134136
2025-10-12,20080.89242952761
2025-10-13,20081.67779292108
2025-10-14,20082.463156314552
2025-10-15,20083.248519708024
2025-10-16,20084.033883101496
2025-10-17,20084.819246494968
2025-10-18,20085.60460988844
2025-10-19,20086.38997328191
2025-10-20,20087.175336675384
2025-10-21,20087.960700068856
2025-10-22,20088.746063462328
2025-10-23,20089.5314268558
2025-10-24,20090.31679024927
2025-10-25,20091.102153642743
2025-10-26,20091.887517036215
2025-10-27,20092.672880429687
2025-10-28,20093.45824382316
2025-10-29,20094.24360721663
