date,y_hat
2025-07-02,20082.368526895705
2025-07-03,20061.502276664323
2025-07-04,20038.44040745883
2025-07-05,20015.37853825334
2025-07-06,19992.316669047847
2025-07-07,19976.78595816396
2025-07-08,19959.154485059666
2025-07-09,19941.52301195537
2025-07-10,19920.65676172399
2025-07-11,19897.594892518497
2025-07-12,19874.533023313004
2025-07-13,19851.471154107512
2025-07-14,19835.940443223626
2025-07-15,19818.30897011933
2025-07-16,19800.677497015036
2025-07-17,19779.811246783654
2025-07-18,19756.749377578162
2025-07-19,19733.68750837267
2025-07-20,19710.625639167178
2025-07-21,19695.09492828329
2025-07-22,19677.463455178997
2025-07-23,19659.831982074702
2025-07-24,19638.96573184332
2025-07-25,19615.903862637828
2025-07-26,19592.841993432336
2025-07-27,19569.780124226843
2025-07-28,19554.249413342957
2025-07-29,19536.617940238662
2025-07-30,19518.986467134368
2025-07-31,19498.120216902986
2025-08-01,19476.59051020081
2025-08-02,19468.258325714938
2025-08-03,19459.926141229065
2025-08-04,19459.1251150648
2025-08-05,19456.22332668012
2025-08-06,19453.32153829544
2025-08-07,19447.184972783678
2025-08-08,19438.852788297805
2025-08-09,19430.520603811932
2025-08-10,19422.18841932606
2025-08-11,19421.387393161793
2025-08-12,19418.485604777114
2025-08-13,19415.583816392435
2025-08-14,19409.447250880672
2025-08-15,19401.1150663948
2025-08-16,19392.782881908926
2025-08-17,19384.450697423053
2025-08-18,19383.649671258787
2025-08-19,19380.747882874108
2025-08-20,19377.84609448943
2025-08-21,19371.709528977666
2025-08-22,19363.377344491793
2025-08-23,19355.04516000592
2025-08-24,19366.36651569922
2025-08-25,19385.219029714128
2025-08-26,19401.970781508622
2025-08-27,19418.722533303117
2025-08-28,19432.239507970527
2025-08-29,19443.560863663828
2025-08-30,19454.88221935713
2025-08-31,19466.20357505043
2025-09-01,19485.056089065336
2025-09-02,19501.80784085983
2025-09-03,19518.559592654325
2025-09-04,19532.076567321736
2025-09-05,19543.397923015036
2025-09-06,19554.719278708337
2025-09-07,19566.040634401637
2025-09-08,19584.893148416544
2025-09-09,19601.64490021104
2025-09-10,19618.396652005533
2025-09-11,19612.26008649377
2025-09-12,19603.927902007898
2025-09-13,19595.595717522025
2025-09-14,19587.26353303615
2025-09-15,19586.462506871885
2025-09-16,19583.560718487206
2025-09-17,19580.658930102527
2025-09-18,19574.522364590764
2025-09-19,19566.19018010489
2025-09-20,19557.85799561902
2025-09-21,19549.525811133146
2025-09-22,19548.72478496888
2025-09-23,19545.8229965842
2025-09-24,19542.92120819952
2025-09-25,19536.78464268776
2025-09-26,19528.452458201886
2025-09-27,19520.120273716013
2025-09-28,19511.78808923014
2025-09-29,19510.987063065873
2025-09-30,19508.085274681194
2025-10-01,19505.183486296515
2025-10-02,19499.046920784753
2025-10-03,19490.71473629888
2025-10-04,19482.382551813007
2025-10-05,19474.050367327134
2025-10-06,19473.249341162867
2025-10-07,19470.34755277819
2025-10-08,19467.44576439351
2025-10-09,19461.309198881747
2025-10-10,19452.977014395874
2025-10-11,19444.64482991
2025-10-12,19436.31264542413
2025-10-13,19435.51161925986
2025-10-14,19432.609830875183
2025-10-15,19429.708042490503
2025-10-16,19423.57147697874
2025-10-17,19415.239292492868
2025-10-18,19406.907108006995
2025-10-19,19398.574923521122
2025-10-20,19397.773897356856
2025-10-21,19394.872108972177
2025-10-22,19391.970320587498
2025-10-23,19385.833755075735
2025-10-24,19377.501570589862
2025-10-25,19369.16938610399
2025-10-26,19360.837201618117
2025-10-27,19360.03617545385
2025-10-28,19357.13438706917
2025-10-29,19354.23259868449
