date,y_hat
2025-07-02,19746.59567211527
2025-07-03,19743.191344230538
2025-07-04,19739.787016345806
2025-07-05,19736.382688461075
2025-07-06,19732.978360576344
2025-07-07,19744.385804877904
2025-07-08,19740.981476993173
2025-07-09,19737.57714910844
2025-07-10,19734.17282122371
2025-07-11,19730.76849333898
2025-07-12,19727.364165454248
2025-07-13,19723.959837569517
2025-07-14,19735.367281871077
2025-07-15,19731.962953986345
2025-07-16,19728.558626101614
2025-07-17,19725.154298216883
2025-07-18,19721.749970332152
2025-07-19,19718.34564244742
2025-07-20,19714.94131456269
2025-07-21,19726.34875886425
2025-07-22,19722.944430979518
2025-07-23,19719.540103094787
2025-07-24,19716.135775210056
2025-07-25,19712.731447325325
2025-07-26,19709.327119440593
2025-07-27,19705.922791555862
2025-07-28,19717.330235857422
2025-07-29,19713.92590797269
2025-07-30,19710.52158008796
2025-07-31,19707.11725220323
2025-08-01,19704.363542256066
2025-08-02,19701.609832308903
2025-08-03,19698.85612236174
2025-08-04,19710.914184600868
2025-08-05,19708.160474653705
2025-08-06,19705.406764706542
2025-08-07,19702.65305475938
2025-08-08,19699.899344812216
2025-08-09,19697.145634865054
2025-08-10,19694.39192491789
2025-08-11,19706.44998715702
2025-08-12,19703.696277209856
2025-08-13,19700.942567262693
2025-08-14,19698.18885731553
2025-08-15,19695.435147368367
2025-08-16,19692.681437421204
2025-08-17,19689.92772747404
2025-08-18,19701.98578971317
2025-08-19,19699.232079766007
2025-08-20,19696.478369818844
2025-08-21,19693.72465987168
2025-08-22,19690.97094992452
2025-08-23,19688.217239977355
2025-08-24,19685.463530030192
2025-08-25,19697.52159226932
2025-08-26,19694.767882322158
2025-08-27,19692.014172374995
2025-08-28,19689.260462427832
2025-08-29,19686.50675248067
2025-08-30,19683.753042533506
2025-08-31,19680.999332586343
2025-09-01,19696.675779046433
2025-09-02,19697.54045332023
2025-09-03,19698.40512759403
2025-09-04,19699.269801867827
2025-09-05,19700.134476141626
2025-09-06,19700.999150415424
2025-09-07,19701.863824689222
2025-09-08,19717.54027114931
2025-09-09,19718.40494542311
2025-09-10,19719.26961969691
2025-09-11,19720.134293970706
2025-09-12,19720.998968244505
2025-09-13,19721.863642518303
2025-09-14,19722.7283167921
2025-09-15,19738.40476325219
2025-09-16,19739.26943752599
2025-09-17,19740.134111799787
2025-09-18,19740.998786073586
2025-09-19,19741.863460347384
2025-09-20,19742.728134621182
2025-09-21,19743.59280889498
2025-09-22,19759.26925535507
2025-09-23,19760.133929628868
2025-09-24,19760.998603902666
2025-09-25,19761.863278176465
2025-09-26,19762.727952450263
2025-09-27,19763.59262672406
2025-09-28,19764.45730099786
2025-09-29,19780.13374745795
2025-09-30,19780.998421731747
2025-10-01,19781.863096005545
2025-10-02,19782.727770279344
2025-10-03,19783.592444553142
2025-10-04,19784.45711882694
2025-10-05,19785.32179310074
2025-10-06,19800.998239560828
2025-10-07,19801.862913834626
2025-10-08,19802.727588108424
2025-10-09,19803.592262382223
2025-10-10,19804.45693665602
2025-10-11,19805.32161092982
2025-10-12,19806.186285203617
2025-10-13,19821.862731663707
2025-10-14,19822.727405937505
2025-10-15,19823.592080211303
2025-10-16,19824.4567544851
2025-10-17,19825.3214287589
2025-10-18,19826.186103032698
2025-10-19,19827.050777306496
2025-10-20,19842.727223766586
2025-10-21,19843.591898040384
2025-10-22,19844.456572314182
2025-10-23,19845.32124658798
2025-10-24,19846.18592086178
2025-10-25,19847.050595135577
2025-10-26,19847.915269409375
2025-10-27,19863.591715869465
2025-10-28,19864.456390143263
2025-10-29,19865.32106441706
