date,y_hat
2025-07-02,19000.77898011899
2025-07-03,19001.55796023798
2025-07-04,19002.33694035697
2025-07-05,19003.11592047596
2025-07-06,19003.89490059495
2025-07-07,19010.240593491162
2025-07-08,19011.019573610152
2025-07-09,19011.798553729142
2025-07-10,19012.577533848133
2025-07-11,19013.356513967123
2025-07-12,19014.135494086113
2025-07-13,19014.914474205103
2025-07-14,19021.260167101314
2025-07-15,19022.039147220305
2025-07-16,19022.818127339295
2025-07-17,19023.597107458285
2025-07-18,19024.376087577275
2025-07-19,19025.155067696265
2025-07-20,19025.934047815255
2025-07-21,19032.279740711467
2025-07-22,19033.058720830457
2025-07-23,19033.837700949447
2025-07-24,19034.616681068437
2025-07-25,19035.395661187427
2025-07-26,19036.174641306417
2025-07-27,19036.953621425408
2025-07-28,19043.29931432162
2025-07-29,19044.07829444061
2025-07-30,19044.8572745596
2025-07-31,19045.63625467859
2025-08-01,19046.849955911577
2025-08-02,19048.063657144565
2025-08-03,19049.277358377552
2025-08-04,19056.05777238776
2025-08-05,19057.27147362075
2025-08-06,19058.485174853737
2025-08-07,19059.698876086724
2025-08-08,19060.912577319712
2025-08-09,19062.1262785527
2025-08-10,19063.339979785687
2025-08-11,19070.120393795896
2025-08-12,19071.334095028884
2025-08-13,19072.54779626187
2025-08-14,19073.76149749486
2025-08-15,19074.975198727847
2025-08-16,19076.188899960835
2025-08-17,19077.402601193822
2025-08-18,19084.18301520403
2025-08-19,19085.39671643702
2025-08-20,19086.610417670006
2025-08-21,19087.824118902994
2025-08-22,19089.03782013598
2025-08-23,19090.25152136897
2025-08-24,19091.465222601957
2025-08-25,19098.245636612166
2025-08-26,19099.459337845154
2025-08-27,19100.67303907814
2025-08-28,19101.88674031113
2025-08-29,19103.100441544117
2025-08-30,19104.314142777104
2025-08-31,19105.527844010092
2025-09-01,19112.3082580203
2025-09-02,19113.52195925329
2025-09-03,19114.735660486276
2025-09-04,19115.949361719264
2025-09-05,19117.16306295225
2025-09-06,19118.37676418524
2025-09-07,19119.590465418227
2025-09-08,19126.370879428436
2025-09-09,19127.584580661423
2025-09-10,19128.79828189441
2025-09-11,19130.0119831274
2025-09-12,19131.225684360386
2025-09-13,19132.439385593374
2025-09-14,19133.65308682636
2025-09-15,19140.43350083657
2025-09-16,19141.64720206956
2025-09-17,19142.860903302546
2025-09-18,19144.074604535534
2025-09-19,19145.28830576852
2025-09-20,19146.50200700151
2025-09-21,19147.715708234497
2025-09-22,19154.496122244705
2025-09-23,19155.709823477693
2025-09-24,19156.92352471068
2025-09-25,19158.13722594367
2025-09-26,19159.350927176656
2025-09-27,19160.564628409644
2025-09-28,19161.77832964263
2025-09-29,19168.55874365284
2025-09-30,19169.772444885828
2025-10-01,19175.244344283416
2025-10-02,19180.716243681003
2025-10-03,19186.18814307859
2025-10-04,19191.66004247618
2025-10-05,19197.131941873766
2025-10-06,19208.170554048575
2025-10-07,19213.642453446162
2025-10-08,19219.11435284375
2025-10-09,19224.586252241337
2025-10-10,19230.058151638925
2025-10-11,19235.530051036512
2025-10-12,19241.0019504341
2025-10-13,19252.04056260891
2025-10-14,19257.512462006496
2025-10-15,19262.984361404084
2025-10-16,19268.45626080167
2025-10-17,19273.92816019926
2025-10-18,19279.400059596846
2025-10-19,19284.871958994434
2025-10-20,19295.910571169243
2025-10-21,19301.38247056683
2025-10-22,19306.854369964418
2025-10-23,19312.326269362005
2025-10-24,19317.798168759593
2025-10-25,19323.27006815718
2025-10-26,19328.741967554768
2025-10-27,19339.780579729577
2025-10-28,19345.252479127164
2025-10-29,19350.724378524752
