date,y_hat
2025-07-02,20025.650289884295
2025-07-03,20001.30057976859
2025-07-04,19976.950869652886
2025-07-05,19952.601159537182
2025-07-06,19928.251449421477
2025-07-07,19903.901739305773
2025-07-08,19879.55202919007
2025-07-09,19855.202319074364
2025-07-10,19830.85260895866
2025-07-11,19806.502898842955
2025-07-12,19782.15318872725
2025-07-13,19757.803478611546
2025-07-14,19733.45376849584
2025-07-15,19709.104058380137
2025-07-16,19684.754348264432
2025-07-17,19660.404638148728
2025-07-18,19636.054928033023
2025-07-19,19611.70521791732
2025-07-20,19587.355507801614
2025-07-21,19563.00579768591
2025-07-22,19538.656087570205
2025-07-23,19514.3063774545
2025-07-24,19510.68204642424
2025-07-25,19507.05771539398
2025-07-26,19503.43338436372
2025-07-27,19499.80905333346
2025-07-28,19496.184722303202
2025-07-29,19501.142385830644
2025-07-30,19506.100049358087
2025-07-31,19511.05771288553
2025-08-01,19516.01537641297
2025-08-02,19520.973039940414
2025-08-03,19525.930703467857
2025-08-04,19530.8883669953
2025-08-05,19535.84603052274
2025-08-06,19540.803694050184
2025-08-07,19545.761357577627
2025-08-08,19550.71902110507
2025-08-09,19555.67668463251
2025-08-10,19560.634348159954
2025-08-11,19565.592011687397
2025-08-12,19570.54967521484
2025-08-13,19575.50733874228
2025-08-14,19580.465002269724
2025-08-15,19585.422665797167
2025-08-16,19590.38032932461
2025-08-17,19595.33799285205
2025-08-18,19600.295656379494
2025-08-19,19605.253319906937
2025-08-20,19610.21098343438
2025-08-21,19615.16864696182
2025-08-22,19620.126310489264
2025-08-23,19625.083974016707
2025-08-24,19630.04163754415
2025-08-25,19626.41730651389
2025-08-26,19622.79297548363
2025-08-27,19619.16864445337
2025-08-28,19615.54431342311
2025-08-29,19611.91998239285
2025-08-30,19608.29565136259
2025-08-31,19604.67132033233
2025-09-01,19607.322344071268
2025-09-02,19609.973367810206
2025-09-03,19612.624391549143
2025-09-04,19615.27541528808
2025-09-05,19617.92643902702
2025-09-06,19620.577462765956
2025-09-07,19623.228486504893
2025-09-08,19625.87951024383
2025-09-09,19628.53053398277
2025-09-10,19631.181557721706
2025-09-11,19633.832581460643
2025-09-12,19636.48360519958
2025-09-13,19639.13462893852
2025-09-14,19641.785652677456
2025-09-15,19644.436676416393
2025-09-16,19647.08770015533
2025-09-17,19649.73872389427
2025-09-18,19652.389747633206
2025-09-19,19655.040771372143
2025-09-20,19657.69179511108
2025-09-21,19660.34281885002
2025-09-22,19662.993842588956
2025-09-23,19665.644866327893
2025-09-24,19668.29589006683
2025-09-25,19670.94691380577
2025-09-26,19673.597937544706
2025-09-27,19676.248961283643
2025-09-28,19678.89998502258
2025-09-29,19681.55100876152
2025-09-30,19684.202032500456
2025-10-01,19686.853056239393
2025-10-02,19689.50407997833
2025-10-03,19692.15510371727
2025-10-04,19694.806127456206
2025-10-05,19697.457151195144
2025-10-06,19700.10817493408
2025-10-07,19702.75919867302
2025-10-08,19705.410222411956
2025-10-09,19708.061246150894
2025-10-10,19710.71226988983
2025-10-11,19713.36329362877
2025-10-12,19716.014317367706
2025-10-13,19718.665341106644
2025-10-14,19721.31636484558
2025-10-15,19723.96738858452
2025-10-16,19726.618412323456
2025-10-17,19729.269436062394
2025-10-18,19731.92045980133
2025-10-19,19734.57148354027
2025-10-20,19737.222507279206
2025-10-21,19739.873531018144
2025-10-22,19742.52455475708
2025-10-23,19745.17557849602
2025-10-24,19747.826602234956
2025-10-25,19750.477625973894
2025-10-26,19753.12864971283
2025-10-27,19755.77967345177
2025-10-28,19758.430697190706
2025-10-29,19761.081720929644
