date,y_hat
2025-07-02,19240.106160333075
2025-07-03,19230.21232066615
2025-07-04,19220.318480999224
2025-07-05,19210.424641332298
2025-07-06,19200.530801665373
2025-07-07,19190.636961998447
2025-07-08,19180.74312233152
2025-07-09,19170.849282664596
2025-07-10,19160.95544299767
2025-07-11,19151.061603330745
2025-07-12,19141.16776366382
2025-07-13,19131.273923996894
2025-07-14,19121.38008432997
2025-07-15,19111.486244663043
2025-07-16,19101.592404996118
2025-07-17,19091.698565329192
2025-07-18,19081.804725662267
2025-07-19,19071.91088599534
2025-07-20,19062.017046328416
2025-07-21,19052.12320666149
2025-07-22,19042.229366994565
2025-07-23,19032.33552732764
2025-07-24,19022.441687660714
2025-07-25,19012.54784799379
2025-07-26,19002.654008326863
2025-07-27,18992.760168659937
2025-07-28,18982.866328993012
2025-07-29,18972.972489326086
2025-07-30,18963.07864965916
2025-07-31,18953.184809992235
2025-08-01,18943.29097032531
2025-08-02,18933.397130658384
2025-08-03,18923.50329099146
2025-08-04,18913.609451324533
2025-08-05,18903.715611657608
2025-08-06,18893.821771990682
2025-08-07,18883.927932323757
2025-08-08,18874.03409265683
2025-08-09,18864.140252989906
2025-08-10,18857.28688729891
2025-08-11,18850.433521607913
2025-08-12,18843.580155916916
2025-08-13,18836.72679022592
2025-08-14,18829.873424534922
2025-08-15,18823.020058843926
2025-08-16,18816.16669315293
2025-08-17,18809.313327461932
2025-08-18,18802.459961770935
2025-08-19,18795.60659607994
2025-08-20,18788.753230388942
2025-08-21,18781.899864697945
2025-08-22,18785.190949845186
2025-08-23,18788.482034992427
2025-08-24,18791.773120139667
2025-08-25,18795.064205286908
2025-08-26,18798.35529043415
2025-08-27,18801.64637558139
2025-08-28,18804.93746072863
2025-08-29,18808.22854587587
2025-08-30,18811.51963102311
2025-08-31,18814.810716170352
2025-09-01,18818.101801317593
2025-09-02,18821.392886464833
2025-09-03,18824.683971612074
2025-09-04,18827.975056759315
2025-09-05,18831.266141906555
2025-09-06,18834.557227053796
2025-09-07,18837.848312201037
2025-09-08,18841.139397348277
2025-09-09,18844.430482495518
2025-09-10,18847.72156764276
2025-09-11,18851.01265279
2025-09-12,18854.30373793724
2025-09-13,18857.59482308448
2025-09-14,18860.88590823172
2025-09-15,18864.176993378962
2025-09-16,18867.468078526203
2025-09-17,18870.759163673443
2025-09-18,18874.050248820684
2025-09-19,18877.341333967925
2025-09-20,18880.632419115165
2025-09-21,18883.923504262406
2025-09-22,18887.214589409647
2025-09-23,18890.505674556887
2025-09-24,18893.796759704128
2025-09-25,18897.08784485137
2025-09-26,18900.37892999861
2025-09-27,18903.67001514585
2025-09-28,18906.96110029309
2025-09-29,18910.25218544033
2025-09-30,18913.543270587572
2025-10-01,18916.834355734813
2025-10-02,18920.125440882053
2025-10-03,18913.272075191057
2025-10-04,18906.41870950006
2025-10-05,18899.565343809063
2025-10-06,18892.711978118066
2025-10-07,18885.85861242707
2025-10-08,18879.005246736073
2025-10-09,18872.151881045076
2025-10-10,18865.29851535408
2025-10-11,18858.445149663083
2025-10-12,18851.591783972086
2025-10-13,18844.73841828109
2025-10-14,18837.885052590093
2025-10-15,18831.031686899096
2025-10-16,18824.1783212081
2025-10-17,18817.324955517102
2025-10-18,18810.471589826106
2025-10-19,18803.61822413511
2025-10-20,18796.764858444112
2025-10-21,18789.911492753115
2025-10-22,18783.05812706212
2025-10-23,18786.34921220936
2025-10-24,18789.6402973566
2025-10-25,18792.93138250384
2025-10-26,18796.22246765108
2025-10-27,18799.513552798322
2025-10-28,18802.804637945563
2025-10-29,18806.095723092803
