date,y_hat
2025-07-02,19558.147276055486
2025-07-03,19566.294552110972
2025-07-04,19574.44182816646
2025-07-05,19582.589104221945
2025-07-06,19590.73638027743
2025-07-07,19602.287425285733
2025-07-08,19610.43470134122
2025-07-09,19618.581977396705
2025-07-10,19626.72925345219
2025-07-11,19634.876529507677
2025-07-12,19643.023805563163
2025-07-13,19651.17108161865
2025-07-14,19662.72212662695
2025-07-15,19670.869402682438
2025-07-16,19679.016678737924
2025-07-17,19687.16395479341
2025-07-18,19695.311230848896
2025-07-19,19703.458506904382
2025-07-20,19711.60578295987
2025-07-21,19723.15682796817
2025-07-22,19731.304104023657
2025-07-23,19739.451380079143
2025-07-24,19747.59865613463
2025-07-25,19755.745932190115
2025-07-26,19763.8932082456
2025-07-27,19772.040484301087
2025-07-28,19783.59152930939
2025-07-29,19791.738805364876
2025-07-30,19799.88608142036
2025-07-31,19808.033357475848
2025-08-01,19816.180633531334
2025-08-02,19824.32790958682
2025-08-03,19832.475185642306
2025-08-04,19844.02623065061
2025-08-05,19852.173506706094
2025-08-06,19860.32078276158
2025-08-07,19868.468058817067
2025-08-08,19876.615334872553
2025-08-09,19884.76261092804
2025-08-10,19892.909886983525
2025-08-11,19904.460931991827
2025-08-12,19912.608208047313
2025-08-13,19920.7554841028
2025-08-14,19928.902760158286
2025-08-15,19937.05003621377
2025-08-16,19945.197312269258
2025-08-17,19953.344588324744
2025-08-18,19964.895633333046
2025-08-19,19973.042909388532
2025-08-20,19981.19018544402
2025-08-21,19989.337461499505
2025-08-22,19997.48473755499
2025-08-23,20005.632013610477
2025-08-24,20013.779289665963
2025-08-25,20025.330334674265
2025-08-26,20033.47761072975
2025-08-27,20041.624886785237
2025-08-28,20049.772162840723
2025-08-29,20057.91943889621
2025-08-30,20066.066714951696
2025-08-31,20074.213991007182
2025-09-01,20085.765036015484
2025-09-02,20093.91231207097
2025-09-03,20102.059588126456
2025-09-04,20110.206864181942
2025-09-05,20118.35414023743
2025-09-06,20126.501416292915
2025-09-07,20134.6486923484
2025-09-08,20146.199737356703
2025-09-09,20154.34701341219
2025-09-10,20162.494289467675
2025-09-11,20170.64156552316
2025-09-12,20178.788841578647
2025-09-13,20186.936117634134
2025-09-14,20195.08339368962
2025-09-15,20206.63443869792
2025-09-16,20214.781714753408
2025-09-17,20222.928990808894
2025-09-18,20231.07626686438
2025-09-19,20239.223542919866
2025-09-20,20247.370818975352
2025-09-21,20255.51809503084
2025-09-22,20267.06914003914
2025-09-23,20275.216416094627
2025-09-24,20283.363692150113
2025-09-25,20291.5109682056
2025-09-26,20299.658244261085
2025-09-27,20307.80552031657
2025-09-28,20315.952796372057
2025-09-29,20327.50384138036
2025-09-30,20335.651117435846
2025-10-01,20352.04604543018
2025-10-02,20368.440973424513
2025-10-03,20384.835901418846
2025-10-04,20401.23082941318
2025-10-05,20417.625757407513
2025-10-06,20437.424454354663
2025-10-07,20453.819382348996
2025-10-08,20470.21431034333
2025-10-09,20486.609238337664
2025-10-10,20503.004166331997
2025-10-11,20519.39909432633
2025-10-12,20535.794022320664
2025-10-13,20555.592719267814
2025-10-14,20571.987647262147
2025-10-15,20588.38257525648
2025-10-16,20604.777503250814
2025-10-17,20621.172431245148
2025-10-18,20637.56735923948
2025-10-19,20653.962287233815
2025-10-20,20673.760984180964
2025-10-21,20690.155912175298
2025-10-22,20706.55084016963
2025-10-23,20671.552712484267
2025-10-24,20636.5545847989
2025-10-25,20601.556457113536
2025-10-26,20566.55832942817
2025-10-27,20534.963970695622
2025-10-28,20499.965843010257
2025-10-29,20464.967715324892
