date,y_hat
2025-07-02,17994.675247637737
2025-07-03,17989.350495275474
2025-07-04,17984.02574291321
2025-07-05,17978.700990550948
2025-07-06,17973.376238188685
2025-07-07,17968.05148582642
2025-07-08,17962.72673346416
2025-07-09,17957.401981101895
2025-07-10,17952.077228739632
2025-07-11,17946.75247637737
2025-07-12,17941.427724015106
2025-07-13,17936.102971652843
2025-07-14,17930.77821929058
2025-07-15,17925.453466928317
2025-07-16,17920.128714566054
2025-07-17,17914.80396220379
2025-07-18,17909.479209841527
2025-07-19,17904.154457479264
2025-07-20,17898.829705117
2025-07-21,17893.504952754738
2025-07-22,17888.180200392475
2025-07-23,17882.855448030212
2025-07-24,17877.53069566795
2025-07-25,17872.205943305686
2025-07-26,17866.881190943423
2025-07-27,17861.55643858116
2025-07-28,17856.231686218896
2025-07-29,17850.906933856633
2025-07-30,17845.58218149437
2025-07-31,17840.257429132107
2025-08-01,17834.932676769844
2025-08-02,17829.60792440758
2025-08-03,17824.283172045318
2025-08-04,17818.958419683055
2025-08-05,17813.63366732079
2025-08-06,17808.30891495853
2025-08-07,17802.984162596265
2025-08-08,17797.659410234002
2025-08-09,17792.33465787174
2025-08-10,17787.009905509476
2025-08-11,17781.685153147213
2025-08-12,17776.36040078495
2025-08-13,17771.035648422687
2025-08-14,17765.710896060424
2025-08-15,17760.38614369816
2025-08-16,17755.061391335897
2025-08-17,17749.736638973634
2025-08-18,17744.41188661137
2025-08-19,17739.08713424911
2025-08-20,17733.762381886845
2025-08-21,17728.437629524582
2025-08-22,17723.11287716232
2025-08-23,17717.788124800056
2025-08-24,17712.463372437793
2025-08-25,17707.13862007553
2025-08-26,17701.813867713267
2025-08-27,17696.489115351003
2025-08-28,17691.16436298874
2025-08-29,17685.839610626477
2025-08-30,17680.514858264214
2025-08-31,17675.19010590195
2025-09-01,17677.1160474336
2025-09-02,17679.041988965248
2025-09-03,17680.967930496896
2025-09-04,17682.893872028544
2025-09-05,17684.819813560192
2025-09-06,17686.74575509184
2025-09-07,17688.67169662349
2025-09-08,17690.597638155137
2025-09-09,17692.523579686786
2025-09-10,17694.449521218434
2025-09-11,17696.375462750082
2025-09-12,17698.30140428173
2025-09-13,17700.22734581338
2025-09-14,17702.153287345027
2025-09-15,17704.079228876675
2025-09-16,17706.005170408323
2025-09-17,17707.93111193997
2025-09-18,17709.85705347162
2025-09-19,17711.78299500327
2025-09-20,17713.708936534917
2025-09-21,17715.634878066565
2025-09-22,17717.560819598213
2025-09-23,17719.48676112986
2025-09-24,17721.41270266151
2025-09-25,17723.338644193158
2025-09-26,17725.264585724806
2025-09-27,17727.190527256455
2025-09-28,17729.116468788103
2025-09-29,17731.04241031975
2025-09-30,17732.9683518514
2025-10-01,17734.894293383048
2025-10-02,17736.820234914696
2025-10-03,17738.746176446344
2025-10-04,17740.672117977992
2025-10-05,17742.59805950964
2025-10-06,17744.52400104129
2025-10-07,17746.449942572937
2025-10-08,17748.375884104586
2025-10-09,17750.301825636234
2025-10-10,17752.227767167882
2025-10-11,17754.15370869953
2025-10-12,17756.07965023118
2025-10-13,17758.005591762827
2025-10-14,17759.931533294475
2025-10-15,17761.857474826124
2025-10-16,17763.78341635777
2025-10-17,17765.70935788942
2025-10-18,17767.63529942107
2025-10-19,17769.561240952717
2025-10-20,17771.487182484365
2025-10-21,17773.413124016013
2025-10-22,17775.33906554766
2025-10-23,17777.26500707931
2025-10-24,17779.190948610958
2025-10-25,17781.116890142606
2025-10-26,17783.042831674255
2025-10-27,17784.968773205903
2025-10-28,17786.89471473755
2025-10-29,17788.8206562692
