date,y_hat
2025-07-02,21539.26450739039
2025-07-03,21528.529014780783
2025-07-04,21517.793522171174
2025-07-05,21507.058029561565
2025-07-06,21496.322536951957
2025-07-07,21485.58704434235
2025-07-08,21474.85155173274
2025-07-09,21464.11605912313
2025-07-10,21453.380566513522
2025-07-11,21442.645073903914
2025-07-12,21431.909581294305
2025-07-13,21421.174088684696
2025-07-14,21410.438596075088
2025-07-15,21399.70310346548
2025-07-16,21388.96761085587
2025-07-17,21378.232118246262
2025-07-18,21367.496625636653
2025-07-19,21356.761133027045
2025-07-20,21346.025640417436
2025-07-21,21335.290147807827
2025-07-22,21324.55465519822
2025-07-23,21313.81916258861
2025-07-24,21303.083669979
2025-07-25,21292.348177369393
2025-07-26,21281.612684759784
2025-07-27,21270.877192150176
2025-07-28,21260.141699540567
2025-07-29,21249.40620693096
2025-07-30,21238.67071432135
2025-07-31,21227.93522171174
2025-08-01,21217.199729102133
2025-08-02,21206.464236492524
2025-08-03,21195.728743882915
2025-08-04,21184.993251273307
2025-08-05,21174.257758663698
2025-08-06,21163.52226605409
2025-08-07,21152.78677344448
2025-08-08,21142.051280834872
2025-08-09,21131.315788225264
2025-08-10,21120.580295615655
2025-08-11,21109.844803006046
2025-08-12,21099.109310396438
2025-08-13,21088.37381778683
2025-08-14,21077.63832517722
2025-08-15,21066.90283256761
2025-08-16,21056.167339958003
2025-08-17,21045.431847348395
2025-08-18,21034.696354738786
2025-08-19,21023.960862129177
2025-08-20,21013.22536951957
2025-08-21,21002.48987690996
2025-08-22,20991.75438430035
2025-08-23,20981.018891690743
2025-08-24,20970.283399081134
2025-08-25,20959.547906471525
2025-08-26,20948.812413861917
2025-08-27,20938.07692125231
2025-08-28,20927.3414286427
2025-08-29,20916.60593603309
2025-08-30,20905.870443423482
2025-08-31,20895.134950813874
2025-09-01,20888.987444237755
2025-09-02,20882.839937661636
2025-09-03,20876.692431085517
2025-09-04,20870.5449245094
2025-09-05,20864.39741793328
2025-09-06,20858.24991135716
2025-09-07,20852.102404781042
2025-09-08,20845.954898204924
2025-09-09,20839.807391628805
2025-09-10,20833.659885052686
2025-09-11,20827.512378476567
2025-09-12,20821.36487190045
2025-09-13,20815.21736532433
2025-09-14,20809.06985874821
2025-09-15,20802.922352172092
2025-09-16,20796.774845595974
2025-09-17,20790.627339019855
2025-09-18,20784.479832443736
2025-09-19,20778.332325867617
2025-09-20,20772.1848192915
2025-09-21,20766.03731271538
2025-09-22,20759.88980613926
2025-09-23,20753.742299563142
2025-09-24,20747.594792987024
2025-09-25,20741.447286410905
2025-09-26,20735.299779834786
2025-09-27,20729.152273258667
2025-09-28,20723.00476668255
2025-09-29,20716.85726010643
2025-09-30,20710.70975353031
2025-10-01,20704.562246954192
2025-10-02,20698.414740378073
2025-10-03,20692.267233801955
2025-10-04,20686.119727225836
2025-10-05,20679.972220649717
2025-10-06,20673.8247140736
2025-10-07,20667.67720749748
2025-10-08,20661.52970092136
2025-10-09,20655.382194345242
2025-10-10,20649.234687769123
2025-10-11,20643.087181193005
2025-10-12,20636.939674616886
2025-10-13,20630.792168040767
2025-10-14,20624.64466146465
2025-10-15,20618.49715488853
2025-10-16,20612.34964831241
2025-10-17,20606.202141736292
2025-10-18,20600.054635160173
2025-10-19,20593.907128584055
2025-10-20,20587.759622007936
2025-10-21,20581.612115431817
2025-10-22,20575.4646088557
2025-10-23,20569.31710227958
2025-10-24,20563.16959570346
2025-10-25,20557.022089127342
2025-10-26,20550.874582551223
2025-10-27,20544.727075975105
2025-10-28,20538.579569398986
2025-10-29,20532.432062822867
