date,y_hat
2025-07-02,19000.86341935569
2025-07-03,19001.72683871138
2025-07-04,19001.624053541113
2025-07-05,19001.521268370845
2025-07-06,19001.418483200578
2025-07-07,19002.281902556268
2025-07-08,19003.145321911958
2025-07-09,19004.008741267648
2025-07-10,19004.872160623338
2025-07-11,19004.76937545307
2025-07-12,19004.666590282803
2025-07-13,19004.563805112535
2025-07-14,19005.427224468225
2025-07-15,19006.290643823915
2025-07-16,19007.154063179605
2025-07-17,19008.017482535295
2025-07-18,19007.914697365028
2025-07-19,19007.81191219476
2025-07-20,19007.709127024493
2025-07-21,19008.572546380183
2025-07-22,19009.435965735873
2025-07-23,19010.299385091563
2025-07-24,19011.162804447253
2025-07-25,19011.060019276985
2025-07-26,19010.957234106718
2025-07-27,19010.85444893645
2025-07-28,19011.71786829214
2025-07-29,19012.58128764783
2025-07-30,19013.44470700352
2025-07-31,19014.30812635921
2025-08-01,19014.205341188943
2025-08-02,19014.102556018675
2025-08-03,19013.999770848408
2025-08-04,19014.863190204098
2025-08-05,19015.726609559788
2025-08-06,19016.590028915478
2025-08-07,19017.453448271168
2025-08-08,19017.3506631009
2025-08-09,19017.247877930633
2025-08-10,19017.145092760366
2025-08-11,19018.008512116055
2025-08-12,19018.871931471745
2025-08-13,19019.735350827435
2025-08-14,19020.598770183125
2025-08-15,19020.495985012858
2025-08-16,19020.39319984259
2025-08-17,19020.290414672323
2025-08-18,19021.153834028013
2025-08-19,19022.017253383703
2025-08-20,19022.880672739393
2025-08-21,19023.744092095083
2025-08-22,19023.641306924816
2025-08-23,19023.538521754548
2025-08-24,19023.43573658428
2025-08-25,19024.29915593997
2025-08-26,19025.16257529566
2025-08-27,19026.02599465135
2025-08-28,19026.88941400704
2025-08-29,19026.786628836773
2025-08-30,19026.683843666506
2025-08-31,19026.58105849624
2025-09-01,19027.44447785193
2025-09-02,19028.30789720762
2025-09-03,19029.17131656331
2025-09-04,19030.034735919
2025-09-05,19029.93195074873
2025-09-06,19029.829165578463
2025-09-07,19029.726380408196
2025-09-08,19030.589799763886
2025-09-09,19031.453219119576
2025-09-10,19032.316638475266
2025-09-11,19033.180057830956
2025-09-12,19033.07727266069
2025-09-13,19032.97448749042
2025-09-14,19032.871702320153
2025-09-15,19033.735121675843
2025-09-16,19034.598541031533
2025-09-17,19035.461960387223
2025-09-18,19036.325379742913
2025-09-19,19036.222594572646
2025-09-20,19036.11980940238
2025-09-21,19036.01702423211
2025-09-22,19036.8804435878
2025-09-23,19037.74386294349
2025-09-24,19038.60728229918
2025-09-25,19039.47070165487
2025-09-26,19039.367916484603
2025-09-27,19039.265131314336
2025-09-28,19039.16234614407
2025-09-29,19040.02576549976
2025-09-30,19040.88918485545
2025-10-01,19042.78831441389
2025-10-02,19044.687443972332
2025-10-03,19045.620369004813
2025-10-04,19046.553294037294
2025-10-05,19047.486219069775
2025-10-06,19049.385348628217
2025-10-07,19051.28447818666
2025-10-08,19053.1836077451
2025-10-09,19055.082737303543
2025-10-10,19056.015662336024
2025-10-11,19056.948587368504
2025-10-12,19057.881512400985
2025-10-13,19059.780641959427
2025-10-14,19061.67977151787
2025-10-15,19063.57890107631
2025-10-16,19065.478030634753
2025-10-17,19066.410955667234
2025-10-18,19067.343880699715
2025-10-19,19068.276805732195
2025-10-20,19070.175935290637
2025-10-21,19072.07506484908
2025-10-22,19073.97419440752
2025-10-23,19075.873323965963
2025-10-24,19076.806248998444
2025-10-25,19077.739174030925
2025-10-26,19078.672099063406
2025-10-27,19080.571228621848
2025-10-28,19082.47035818029
2025-10-29,19084.36948773873
