date,y_hat
2025-07-02,21848.22482622148
2025-07-03,21846.449652442963
2025-07-04,21844.674478664445
2025-07-05,21842.899304885927
2025-07-06,21841.124131107408
2025-07-07,21839.34895732889
2025-07-08,21837.57378355037
2025-07-09,21835.798609771853
2025-07-10,21834.023435993335
2025-07-11,21832.248262214816
2025-07-12,21830.473088436298
2025-07-13,21828.69791465778
2025-07-14,21826.92274087926
2025-07-15,21825.147567100743
2025-07-16,21823.372393322225
2025-07-17,21821.597219543706
2025-07-18,21819.822045765188
2025-07-19,21818.04687198667
2025-07-20,21816.27169820815
2025-07-21,21814.496524429633
2025-07-22,21812.721350651114
2025-07-23,21810.946176872596
2025-07-24,21809.171003094078
2025-07-25,21807.39582931556
2025-07-26,21805.62065553704
2025-07-27,21803.845481758523
2025-07-28,21802.070307980004
2025-07-29,21800.295134201486
2025-07-30,21799.17892744974
2025-07-31,21798.06272069799
2025-08-01,21796.946513946245
2025-08-02,21795.830307194497
2025-08-03,21794.71410044275
2025-08-04,21793.597893691003
2025-08-05,21792.481686939256
2025-08-06,21791.36548018751
2025-08-07,21790.249273435762
2025-08-08,21789.133066684015
2025-08-09,21788.016859932268
2025-08-10,21786.90065318052
2025-08-11,21785.784446428774
2025-08-12,21784.668239677027
2025-08-13,21783.55203292528
2025-08-14,21782.435826173532
2025-08-15,21781.319619421785
2025-08-16,21780.20341267004
2025-08-17,21779.08720591829
2025-08-18,21777.970999166544
2025-08-19,21776.854792414797
2025-08-20,21775.73858566305
2025-08-21,21774.622378911303
2025-08-22,21773.506172159556
2025-08-23,21772.38996540781
2025-08-24,21771.27375865606
2025-08-25,21770.157551904314
2025-08-26,21769.041345152567
2025-08-27,21767.92513840082
2025-08-28,21766.808931649073
2025-08-29,21765.692724897326
2025-08-30,21764.57651814558
2025-08-31,21763.460311393832
2025-09-01,21762.344104642085
2025-09-02,21761.227897890338
2025-09-03,21760.11169113859
2025-09-04,21758.995484386844
2025-09-05,21757.879277635097
2025-09-06,21756.76307088335
2025-09-07,21755.646864131602
2025-09-08,21754.530657379855
2025-09-09,21753.414450628108
2025-09-10,21752.29824387636
2025-09-11,21751.182037124614
2025-09-12,21750.065830372867
2025-09-13,21748.94962362112
2025-09-14,21747.833416869373
2025-09-15,21746.717210117626
2025-09-16,21745.60100336588
2025-09-17,21744.48479661413
2025-09-18,21743.368589862384
2025-09-19,21742.252383110637
2025-09-20,21741.13617635889
2025-09-21,21740.019969607143
2025-09-22,21738.903762855396
2025-09-23,21737.78755610365
2025-09-24,21736.671349351902
2025-09-25,21735.555142600155
2025-09-26,21734.438935848408
2025-09-27,21733.32272909666
2025-09-28,21732.206522344914
2025-09-29,21731.090315593166
2025-09-30,21729.97410884142
2025-10-01,21728.857902089672
2025-10-02,21727.741695337925
2025-10-03,21726.625488586178
2025-10-04,21725.50928183443
2025-10-05,21724.393075082684
2025-10-06,21723.276868330937
2025-10-07,21722.16066157919
2025-10-08,21721.044454827443
2025-10-09,21719.928248075696
2025-10-10,21718.81204132395
2025-10-11,21717.6958345722
2025-10-12,21716.579627820454
2025-10-13,21715.463421068707
2025-10-14,21714.34721431696
2025-10-15,21713.231007565213
2025-10-16,21712.114800813466
2025-10-17,21710.99859406172
2025-10-18,21709.88238730997
2025-10-19,21708.766180558225
2025-10-20,21707.649973806478
2025-10-21,21706.53376705473
2025-10-22,21705.417560302983
2025-10-23,21704.301353551236
2025-10-24,21703.18514679949
2025-10-25,21702.068940047742
2025-10-26,21700.952733295995
2025-10-27,21699.836526544248
2025-10-28,21698.7203197925
2025-10-29,21697.604113040754
