date,y_hat
2025-07-02,19045.273004143193
2025-07-03,19040.546008286386
2025-07-04,19034.556624310804
2025-07-05,19028.567240335222
2025-07-06,19022.57785635964
2025-07-07,19024.16512217846
2025-07-08,19020.178877312774
2025-07-09,19015.451881455967
2025-07-10,19010.72488559916
2025-07-11,19004.735501623578
2025-07-12,18998.746117647996
2025-07-13,18992.756733672413
2025-07-14,18994.343999491233
2025-07-15,18990.357754625547
2025-07-16,18985.63075876874
2025-07-17,18980.903762911934
2025-07-18,18974.91437893635
2025-07-19,18968.92499496077
2025-07-20,18962.935610985187
2025-07-21,18964.522876804007
2025-07-22,18960.53663193832
2025-07-23,18955.809636081514
2025-07-24,18951.082640224708
2025-07-25,18945.093256249125
2025-07-26,18939.103872273543
2025-07-27,18933.11448829796
2025-07-28,18934.70175411678
2025-07-29,18930.715509251095
2025-07-30,18925.988513394288
2025-07-31,18921.26151753748
2025-08-01,18915.2721335619
2025-08-02,18909.282749586317
2025-08-03,18903.293365610734
2025-08-04,18904.880631429554
2025-08-05,18900.89438656387
2025-08-06,18896.16739070706
2025-08-07,18891.440394850255
2025-08-08,18885.451010874673
2025-08-09,18879.46162689909
2025-08-10,18873.472242923508
2025-08-11,18875.059508742328
2025-08-12,18871.073263876642
2025-08-13,18866.346268019835
2025-08-14,18861.61927216303
2025-08-15,18855.629888187446
2025-08-16,18849.640504211864
2025-08-17,18843.65112023628
2025-08-18,18845.2383860551
2025-08-19,18841.252141189416
2025-08-20,18836.52514533261
2025-08-21,18831.798149475802
2025-08-22,18825.80876550022
2025-08-23,18819.819381524638
2025-08-24,18813.829997549055
2025-08-25,18815.417263367875
2025-08-26,18811.43101850219
2025-08-27,18806.704022645383
2025-08-28,18801.977026788576
2025-08-29,18795.987642812994
2025-08-30,18789.99825883741
2025-08-31,18784.00887486183
2025-09-01,18785.59614068065
2025-09-02,18781.609895814963
2025-09-03,18776.882899958156
2025-09-04,18772.15590410135
2025-09-05,18766.166520125767
2025-09-06,18760.177136150185
2025-09-07,18754.187752174603
2025-09-08,18755.775017993423
2025-09-09,18751.788773127737
2025-09-10,18747.06177727093
2025-09-11,18742.334781414123
2025-09-12,18736.34539743854
2025-09-13,18730.35601346296
2025-09-14,18724.366629487376
2025-09-15,18725.953895306197
2025-09-16,18721.96765044051
2025-09-17,18717.240654583704
2025-09-18,18712.513658726897
2025-09-19,18706.524274751315
2025-09-20,18700.534890775732
2025-09-21,18694.54550680015
2025-09-22,18696.13277261897
2025-09-23,18692.146527753284
2025-09-24,18687.419531896478
2025-09-25,18682.69253603967
2025-09-26,18676.70315206409
2025-09-27,18670.713768088506
2025-09-28,18664.724384112924
2025-09-29,18666.311649931744
2025-09-30,18662.325405066058
2025-10-01,18657.59840920925
2025-10-02,18652.871413352445
2025-10-03,18646.882029376862
2025-10-04,18640.89264540128
2025-10-05,18634.903261425698
2025-10-06,18636.490527244518
2025-10-07,18632.50428237883
2025-10-08,18627.777286522025
2025-10-09,18623.05029066522
2025-10-10,18617.060906689636
2025-10-11,18611.071522714054
2025-10-12,18605.08213873847
2025-10-13,18606.66940455729
2025-10-14,18602.683159691605
2025-10-15,18597.9561638348
2025-10-16,18593.229167977992
2025-10-17,18587.23978400241
2025-10-18,18581.250400026827
2025-10-19,18575.261016051245
2025-10-20,18576.848281870065
2025-10-21,18572.86203700438
2025-10-22,18568.135041147572
2025-10-23,18563.408045290766
2025-10-24,18557.418661315183
2025-10-25,18551.4292773396
2025-10-26,18545.43989336402
2025-10-27,18547.02715918284
2025-10-28,18543.040914317153
2025-10-29,18538.313918460346
