date,y_hat
2025-07-02,19352.30747525968
2025-07-03,19354.61495051936
2025-07-04,19356.92242577904
2025-07-05,19359.22990103872
2025-07-06,19361.5373762984
2025-07-07,19363.844851558082
2025-07-08,19366.152326817763
2025-07-09,19368.459802077443
2025-07-10,19370.767277337123
2025-07-11,19373.074752596804
2025-07-12,19375.382227856484
2025-07-13,19377.689703116164
2025-07-14,19379.997178375845
2025-07-15,19382.304653635525
2025-07-16,19384.612128895205
2025-07-17,19386.919604154886
2025-07-18,19389.227079414566
2025-07-19,19391.534554674246
2025-07-20,19393.842029933927
2025-07-21,19396.149505193607
2025-07-22,19398.456980453288
2025-07-23,19400.764455712968
2025-07-24,19403.07193097265
2025-07-25,19405.37940623233
2025-07-26,19407.68688149201
2025-07-27,19409.99435675169
2025-07-28,19412.30183201137
2025-07-29,19414.60930727105
2025-07-30,19416.91678253073
2025-07-31,19419.22425779041
2025-08-01,19421.53173305009
2025-08-02,19423.83920830977
2025-08-03,19426.146683569452
2025-08-04,19428.454158829132
2025-08-05,19430.761634088813
2025-08-06,19433.069109348493
2025-08-07,19435.376584608173
2025-08-08,19437.684059867854
2025-08-09,19439.991535127534
2025-08-10,19442.299010387214
2025-08-11,19444.606485646895
2025-08-12,19446.913960906575
2025-08-13,19449.221436166255
2025-08-14,19451.528911425936
2025-08-15,19453.836386685616
2025-08-16,19456.143861945297
2025-08-17,19458.451337204977
2025-08-18,19460.758812464657
2025-08-19,19463.066287724338
2025-08-20,19465.373762984018
2025-08-21,19467.6812382437
2025-08-22,19469.98871350338
2025-08-23,19472.29618876306
2025-08-24,19474.60366402274
2025-08-25,19476.91113928242
2025-08-26,19479.2186145421
2025-08-27,19476.487788163464
2025-08-28,19473.756961784828
2025-08-29,19471.02613540619
2025-08-30,19468.295309027555
2025-08-31,19465.56448264892
2025-09-01,19462.833656270283
2025-09-02,19460.102829891646
2025-09-03,19457.37200351301
2025-09-04,19454.641177134374
2025-09-05,19456.948652394054
2025-09-06,19459.256127653734
2025-09-07,19461.563602913415
2025-09-08,19455.81014097779
2025-09-09,19450.05667904216
2025-09-10,19444.303217106535
2025-09-11,19446.610692366216
2025-09-12,19448.918167625896
2025-09-13,19451.225642885576
2025-09-14,19453.533118145257
2025-09-15,19455.840593404937
2025-09-16,19458.148068664617
2025-09-17,19460.455543924298
2025-09-18,19462.763019183978
2025-09-19,19465.07049444366
2025-09-20,19467.37796970334
2025-09-21,19469.68544496302
2025-09-22,19471.9929202227
2025-09-23,19474.30039548238
2025-09-24,19476.60787074206
2025-09-25,19478.91534600174
2025-09-26,19476.184519623104
2025-09-27,19473.453693244468
2025-09-28,19470.72286686583
2025-09-29,19467.992040487195
2025-09-30,19465.26121410856
2025-10-01,19462.530387729923
2025-10-02,19459.799561351287
2025-10-03,19457.06873497265
2025-10-04,19454.337908594014
2025-10-05,19456.645383853695
2025-10-06,19458.952859113375
2025-10-07,19461.260334373055
2025-10-08,19455.50687243743
2025-10-09,19449.753410501802
2025-10-10,19443.999948566176
2025-10-11,19446.307423825856
2025-10-12,19448.614899085536
2025-10-13,19450.922374345217
2025-10-14,19453.229849604897
2025-10-15,19455.537324864577
2025-10-16,19457.844800124258
2025-10-17,19460.152275383938
2025-10-18,19462.45975064362
2025-10-19,19464.7672259033
2025-10-20,19467.07470116298
2025-10-21,19469.38217642266
2025-10-22,19471.68965168234
2025-10-23,19473.99712694202
2025-10-24,19476.3046022017
2025-10-25,19478.61207746138
2025-10-26,19475.881251082745
2025-10-27,19473.15042470411
2025-10-28,19470.419598325472
2025-10-29,19467.688771946836
