city,entity,n,r2,rmse,mae,mape_pct,saved,model_path,best_params,train_seconds,train_hms
Kota Maluku,kota_maluku,2009,0.44148150853690704,78.50786119449019,35.3877167052803,0.16076878418696494,False,,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 3, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",65.16258570000001,0:01:05
Kota Balikpapan,kota_balikpapan,2009,1.0,0.0,0.0,0.0,True,C:\Users\ASUS\skripsi_carin\models\kota_balikpapan_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",63.181130499999995,0:01:03
Kota Banda Aceh,kota_banda_aceh,2009,1.0,0.0,0.0,0.0,True,C:\Users\ASUS\skripsi_carin\models\kota_banda_aceh_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",72.8748947,0:01:13
Kota Bandar Lampung,kota_bandar_lampung,2009,0.978037425313853,445.6889154309577,50.40436468108764,0.25914324795643423,True,C:\Users\ASUS\skripsi_carin\models\kota_bandar_lampung_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",65.48451059999996,0:01:05
Kota Bandung,kota_bandung,2009,0.9655115300699073,20.07569252872504,4.427802890161709,0.02153399297750218,True,C:\Users\ASUS\skripsi_carin\models\kota_bandung_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",66.9219721,0:01:07
Kota Banggai,kota_banggai,2009,0.9860673461540382,58.68938953886336,6.666666666666667,0.034633327644080336,True,C:\Users\ASUS\skripsi_carin\models\kota_banggai_gbm_delta.pack.joblib,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",32.033488499999976,0:00:32
Kota Banjarmasin,kota_banjarmasin,2009,0.9559565961259663,235.393426106449,59.11367492887295,0.2948122444892135,True,C:\Users\ASUS\skripsi_carin\models\kota_banjarmasin_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",74.08817959999999,0:01:14
Kab. Banyumas,kab._banyumas,2009,0.977769869500696,34.62823778016048,10.496476398929817,0.05103165211605237,True,C:\Users\ASUS\skripsi_carin\models\kab._banyumas_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",74.47606709999997,0:01:14
Kab. Banyuwangi,kab._banyuwangi,2009,0.9623892029669331,60.629257946903984,32.62626753341134,0.16173882486623345,True,C:\Users\ASUS\skripsi_carin\models\kab._banyuwangi_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",75.73692449999999,0:01:16
Kota Batam,kota_batam,2009,0.9432236905264088,30.308955799963957,13.323438342024101,0.06898903590315736,True,C:\Users\ASUS\skripsi_carin\models\kota_batam_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",64.32669829999998,0:01:04
Kota Bau - Bau,kota_bau_-_bau,2009,0.9913306626180078,80.42472108515088,13.23024694813535,0.05716444795418715,True,C:\Users\ASUS\skripsi_carin\models\kota_bau_-_bau_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",58.42390590000002,0:00:58
Kota Bekasi,kota_bekasi,2009,0.6777628113140262,93.58080718873573,37.83782974745368,0.17860225936885374,True,C:\Users\ASUS\skripsi_carin\models\kota_bekasi_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",70.0107736,0:01:10
Kota Bengkulu,kota_bengkulu,2009,0.8743422062303803,44.396761359697386,15.764455559075335,0.07873600152815959,True,C:\Users\ASUS\skripsi_carin\models\kota_bengkulu_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",63.86905049999996,0:01:04
Kota Bima,kota_bima,2009,0.9794262034552919,36.62450525645534,9.424610082155818,0.04348432136657199,True,C:\Users\ASUS\skripsi_carin\models\kota_bima_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",62.217008299999975,0:01:02
Kota Blitar,kota_blitar,2009,0.9838683265054469,51.50512380120814,10.277777777777779,0.05596225702655949,True,C:\Users\ASUS\skripsi_carin\models\kota_blitar_gbm_delta.pack.joblib,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 1, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",78.16852670000003,0:01:18
