Kota,LAGS,ROLLS,learning_rate,max_depth,max_iter,Test_R2,MAE,RMSE,MSE,MAPE,R2
Kab. Banyuwangi,"[1, 14]",[30],0.05,1,300,0.928,,,,,
Kab. Boyolali,"[1, 30]",[],0.03,1,300,0.9169,,,,,
Kab. Bulukomba,"[1, 7]",[30],0.03,1,300,0.9235,,,,,
Kab. Bulungan,[1],[7],0.05,1,300,0.8702,,,,,
Kab. Bungo,[1],[30],0.05,3,150,0.895,,,,,
Kab. Cilacap,"[1, 14]",[30],0.05,1,450,0.9219,,,,,
Kab. Cirebon,[1],[30],0.05,1,300,0.9275,,,,,
Kab. Gorontalo,[1],[7],0.05,1,150,0,,banyumas,,,
Kab. Jayawijaya,[1],[],0.05,1,150,0,,,,,
Kab. Jember,[1],[7],0.03,1,450,"0,924",,,,,
Kab. Karanganyar,"[1, 30]",[],0.05,1,450,0.9341,,,,,
Kab. Kudus,"[1, 14]",[],0.01,3,450,0.937,,,,,
Kab. Lombok Timur,"[1, 30]",[30],0.05,1,450,0.9347,,,,,
Kab. Majene,"[1, 30]",[30],0.03,3,300,0.8953,,,,,
Kab. Manokwari,"[1, 7]",[7],0.05,3,150,0.7173,,,,,
Kab. Merauke,"[1, 7]",[30],0.03,3,300,0.9246,,,,,
Kab. Mimika,"[1, 14]",[7],0.05,2,450,0.9043,,,,,
Kab. Nabire,[1],[],0.05,1,150,-0.113,,,,,
Kab. Polewali Mandar,[1],[],0.05,3,450,0,,,,,
Kab. Sintang,"[1, 7]",[],0.05,3,150,0.8388,,,,,
Kab. Sukoharjo,[1],[],0.03,2,150,0.914,,,,,
Kab. Sumba Timur,"[1, 14]",[],0.03,2,150,0.8409,,,,,
Kab. Sumbawa,[1],[7],0.03,3,150,0.9261,,,,,
Kab. Sumenep,[1],[7],0.01,2,450,0.9425,,,,,
Kab. Wonogiri,"[1, 30]",[],0.05,2,300,0.9214,,,,,
Kab.Klaten,[1],[30],0.03,1,300,0.8455,,,,,
Kab Kotabaru,"[1, 30]",[30],0.03,1,450,0.8463,,,,,
Kab Sragen,[1],[7],0.05,1,300,0.8702,,,,,
Kota Balikpapan,[1],[],0.05,3,150,0,,,,,
Kota Banda Aceh,[1],[],0.05,3,150,0,,,,,
Kota Bandar Lampung,Kota Banda Aceh,[1],[],0.05,3,0,,,,,
Kota Bandung,"[1, 30]",[7],0.05,1,300,0.924,,,,,
Kota Banggai,"[1, 30]",[7],0.05,1,300,-2.1861,,,,,
Kota Banjarmasin,"[1, 30]",[7],0.05,1,300,0.8838,,,,,
Kab. Sumba Timur,"[1, 14]",[],0.03,2,150,0.8409,,,,,
